Thing,adresse,Adresse
R¨¦f¨¦rence,parties,Partie
List,rest,List
Raport,institution,Universit¨¦
Actes,¨¦v¨¨nement,Conf¨¦rence
R¨¦f¨¦rence,chapitres,Chapitre
Partie,livre,Monographie
Actes,organisation,Organization
Manuel,organisation,Organization
Revue,articles,Article
Film,r¨¦alisateurs,Personnes
R¨¦f¨¦rence,date,Date
Conf¨¦rence,date,Date
R¨¦f¨¦rence,cr¨¦ateur,Personnes
Actes,communications,ExtraitActes
Partie,journal,Revue
R¨¦f¨¦rence,localisation,Adresse
Conf¨¦rence,localisation,Adresse
R¨¦f¨¦rence,¨¦diteur,?diteur
Revue,¨¦diteur,?diteur
Partie,collection,Compilation
R¨¦f¨¦rence,auteurs,Personnes
Partie,pages,IntervalleDePages
R¨¦f¨¦rence,contrat,Thing
R¨¦f¨¦rence,¨¦diteurs,Personnes
Partie,actes,Actes
Conf¨¦rence,organisateur,Organization
Chapitre,chapitre,string
ExtraitActes,chapitre,string
ExtraitLivre,chapitre,string
Article,chapitre,string
ExtraitCompilation,chapitre,string
Partie,lccn,string
Livre,lccn,string
Raport,lccn,string
Chapitre,lccn,string
M¨¦moire,lccn,string
Divers,lccn,string
M¨¦moireDeDoctorat,lccn,string
ExtraitLivre,lccn,string
Manuel,lccn,string
Article,lccn,string
ExtraitCompilation,lccn,string
Monographie,lccn,string
Film,lccn,string
RaportTechnique,lccn,string
Livrable,lccn,string
Polycopi¨¦,lccn,string
NonPubli¨¦,lccn,string
Livret,lccn,string
ExtraitActes,lccn,string
Compilation,lccn,string
Informel,lccn,string
M¨¦moireDeMast¨¨re,lccn,string
Actes,lccn,string
Partie,issn,string
Livre,issn,string
Raport,issn,string
Chapitre,issn,string
M¨¦moire,issn,string
Divers,issn,string
M¨¦moireDeDoctorat,issn,string
ExtraitLivre,issn,string
Manuel,issn,string
Article,issn,string
ExtraitCompilation,issn,string
Monographie,issn,string
Film,issn,string
RaportTechnique,issn,string
Livrable,issn,string
Polycopi¨¦,issn,string
NonPubli¨¦,issn,string
Livret,issn,string
ExtraitActes,issn,string
Compilation,issn,string
Informel,issn,string
M¨¦moireDeMast¨¨re,issn,string
Actes,issn,string
Partie,volume,nonNegativeInteger
Livre,volume,nonNegativeInteger
Raport,volume,nonNegativeInteger
Chapitre,volume,nonNegativeInteger
M¨¦moire,volume,nonNegativeInteger
Divers,volume,nonNegativeInteger
M¨¦moireDeDoctorat,volume,nonNegativeInteger
ExtraitLivre,volume,nonNegativeInteger
Manuel,volume,nonNegativeInteger
Article,volume,nonNegativeInteger
ExtraitCompilation,volume,nonNegativeInteger
Monographie,volume,nonNegativeInteger
Film,volume,nonNegativeInteger
RaportTechnique,volume,nonNegativeInteger
Livrable,volume,nonNegativeInteger
Polycopi¨¦,volume,nonNegativeInteger
NonPubli¨¦,volume,nonNegativeInteger
Livret,volume,nonNegativeInteger
ExtraitActes,volume,nonNegativeInteger
Compilation,volume,nonNegativeInteger
Informel,volume,nonNegativeInteger
M¨¦moireDeMast¨¨re,volume,nonNegativeInteger
Actes,volume,nonNegativeInteger
Compilation,¨¦dition,string
Actes,¨¦dition,string
Monographie,¨¦dition,string
Partie,sortie,string
Livre,sortie,string
Raport,sortie,string
Chapitre,sortie,string
M¨¦moire,sortie,string
Divers,sortie,string
M¨¦moireDeDoctorat,sortie,string
ExtraitLivre,sortie,string
Manuel,sortie,string
Article,sortie,string
ExtraitCompilation,sortie,string
Monographie,sortie,string
Film,sortie,string
RaportTechnique,sortie,string
Livrable,sortie,string
Polycopi¨¦,sortie,string
NonPubli¨¦,sortie,string
Livret,sortie,string
ExtraitActes,sortie,string
Compilation,sortie,string
Informel,sortie,string
M¨¦moireDeMast¨¨re,sortie,string
Actes,sortie,string
Partie,affiliation,string
Livre,affiliation,string
Raport,affiliation,string
Chapitre,affiliation,string
M¨¦moire,affiliation,string
Divers,affiliation,string
M¨¦moireDeDoctorat,affiliation,string
ExtraitLivre,affiliation,string
Manuel,affiliation,string
Article,affiliation,string
ExtraitCompilation,affiliation,string
Monographie,affiliation,string
Film,affiliation,string
RaportTechnique,affiliation,string
Livrable,affiliation,string
Polycopi¨¦,affiliation,string
NonPubli¨¦,affiliation,string
Livret,affiliation,string
ExtraitActes,affiliation,string
Compilation,affiliation,string
Informel,affiliation,string
M¨¦moireDeMast¨¨re,affiliation,string
Actes,affiliation,string
Partie,annote,string
Livre,annote,string
Raport,annote,string
Chapitre,annote,string
M¨¦moire,annote,string
Divers,annote,string
M¨¦moireDeDoctorat,annote,string
ExtraitLivre,annote,string
Manuel,annote,string
Article,annote,string
ExtraitCompilation,annote,string
Monographie,annote,string
Film,annote,string
RaportTechnique,annote,string
Livrable,annote,string
Polycopi¨¦,annote,string
NonPubli¨¦,annote,string
Livret,annote,string
ExtraitActes,annote,string
Compilation,annote,string
Informel,annote,string
M¨¦moireDeMast¨¨re,annote,string
Actes,annote,string
Partie,prix,string
Livre,prix,string
Raport,prix,string
Chapitre,prix,string
M¨¦moire,prix,string
Divers,prix,string
M¨¦moireDeDoctorat,prix,string
ExtraitLivre,prix,string
Manuel,prix,string
Article,prix,string
ExtraitCompilation,prix,string
Monographie,prix,string
Film,prix,string
RaportTechnique,prix,string
Livrable,prix,string
Polycopi¨¦,prix,string
NonPubli¨¦,prix,string
Livret,prix,string
ExtraitActes,prix,string
Compilation,prix,string
Informel,prix,string
M¨¦moireDeMast¨¨re,prix,string
Actes,prix,string
Partie,s¨¦rie,string
Livre,s¨¦rie,string
Raport,s¨¦rie,string
Chapitre,s¨¦rie,string
M¨¦moire,s¨¦rie,string
Divers,s¨¦rie,string
M¨¦moireDeDoctorat,s¨¦rie,string
ExtraitLivre,s¨¦rie,string
Manuel,s¨¦rie,string
Article,s¨¦rie,string
ExtraitCompilation,s¨¦rie,string
Monographie,s¨¦rie,string
Film,s¨¦rie,string
RaportTechnique,s¨¦rie,string
Livrable,s¨¦rie,string
Polycopi¨¦,s¨¦rie,string
NonPubli¨¦,s¨¦rie,string
Livret,s¨¦rie,string
ExtraitActes,s¨¦rie,string
Compilation,s¨¦rie,string
Informel,s¨¦rie,string
M¨¦moireDeMast¨¨re,s¨¦rie,string
Actes,s¨¦rie,string
Partie,r¨¦sum¨¦,string
Livre,r¨¦sum¨¦,string
Raport,r¨¦sum¨¦,string
Chapitre,r¨¦sum¨¦,string
M¨¦moire,r¨¦sum¨¦,string
Divers,r¨¦sum¨¦,string
M¨¦moireDeDoctorat,r¨¦sum¨¦,string
ExtraitLivre,r¨¦sum¨¦,string
Manuel,r¨¦sum¨¦,string
Article,r¨¦sum¨¦,string
ExtraitCompilation,r¨¦sum¨¦,string
Monographie,r¨¦sum¨¦,string
Film,r¨¦sum¨¦,string
RaportTechnique,r¨¦sum¨¦,string
Livrable,r¨¦sum¨¦,string
Polycopi¨¦,r¨¦sum¨¦,string
NonPubli¨¦,r¨¦sum¨¦,string
Livret,r¨¦sum¨¦,string
ExtraitActes,r¨¦sum¨¦,string
Compilation,r¨¦sum¨¦,string
Informel,r¨¦sum¨¦,string
M¨¦moireDeMast¨¨re,r¨¦sum¨¦,string
Actes,r¨¦sum¨¦,string
M¨¦moireDeDoctorat,cat¨¦gorie,string
M¨¦moireDeMast¨¨re,cat¨¦gorie,string
Partie,mots-cl¨¦,string
Livre,mots-cl¨¦,string
Raport,mots-cl¨¦,string
Chapitre,mots-cl¨¦,string
M¨¦moire,mots-cl¨¦,string
Divers,mots-cl¨¦,string
M¨¦moireDeDoctorat,mots-cl¨¦,string
ExtraitLivre,mots-cl¨¦,string
Manuel,mots-cl¨¦,string
Article,mots-cl¨¦,string
ExtraitCompilation,mots-cl¨¦,string
Monographie,mots-cl¨¦,string
Film,mots-cl¨¦,string
RaportTechnique,mots-cl¨¦,string
Livrable,mots-cl¨¦,string
Polycopi¨¦,mots-cl¨¦,string
