Proceedings,event,Conference
Part,journal,Journal
Reference,parts,Part
List,rest,List
Reference,contract,Thing
Reference,date,Date
Conference,date,Date
Thing,address,Address
Reference,publisher,Publisher
Journal,publisher,Publisher
Part,book,Monograph
Reference,location,Address
Conference,location,Address
Journal,articles,Article
Reference,humanCreator,PersonList
Proceedings,organization,Organization
Manual,organization,Organization
Reference,chapters,Chapter
MotionPicture,directors,PersonList
Reference,author,PersonList
Part,proceedings,Proceedings
Report,institution,Institution
Part,collection,Collection
Academic,school,School
LectureNotes,school,School
Proceedings,communications,InProceedings
Part,pages,PageRange
Reference,editor,PersonList
Conference,organizer,Organization
Unpublished,language,language
Part,language,language
Informal,language,language
Report,language,language
Book,language,language
Manual,language,language
Academic,language,language
InCollection,language,language
InBook,language,language
Article,language,language
InProceedings,language,language
Unpublished,lccn,string
Part,lccn,string
Informal,lccn,string
Report,lccn,string
Book,lccn,string
Manual,lccn,string
Academic,lccn,string
InCollection,lccn,string
InBook,lccn,string
Article,lccn,string
InProceedings,lccn,string
Unpublished,issn,string
Part,issn,string
Informal,issn,string
Report,issn,string
Book,issn,string
Manual,issn,string
Academic,issn,string
InCollection,issn,string
InBook,issn,string
Article,issn,string
InProceedings,issn,string
Unpublished,number,string
Part,number,string
Informal,number,string
Report,number,string
Book,number,string
Manual,number,string
Academic,number,string
InCollection,number,string
InBook,number,string
Article,number,string
InProceedings,number,string
Unpublished,annote,string
Part,annote,string
Informal,annote,string
Report,annote,string
Book,annote,string
Manual,annote,string
Academic,annote,string
InCollection,annote,string
InBook,annote,string
Article,annote,string
InProceedings,annote,string
Unpublished,note,string
Part,note,string
Informal,note,string
Report,note,string
Book,note,string
Manual,note,string
Academic,note,string
InCollection,note,string
InBook,note,string
Article,note,string
InProceedings,note,string
Unpublished,reviewed,string
Part,reviewed,string
Informal,reviewed,string
Report,reviewed,string
Book,reviewed,string
Manual,reviewed,string
Academic,reviewed,string
InCollection,reviewed,string
InBook,reviewed,string
Article,reviewed,string
InProceedings,reviewed,string
Unpublished,series,string
Part,series,string
Informal,series,string
Report,series,string
Book,series,string
Manual,series,string
Academic,series,string
InCollection,series,string
InBook,series,string
Article,series,string
InProceedings,series,string
Unpublished,size,string
Part,size,string
Informal,size,string
Report,size,string
Book,size,string
Manual,size,string
Academic,size,string
InCollection,size,string
InBook,size,string
Article,size,string
InProceedings,size,string
Unpublished,affiliation,string
Part,affiliation,string
Informal,affiliation,string
Report,affiliation,string
Book,affiliation,string
Manual,affiliation,string
Academic,affiliation,string
InCollection,affiliation,string
InBook,affiliation,string
Article,affiliation,string
InProceedings,affiliation,string
Unpublished,volume,nonNegativeInteger
Part,volume,nonNegativeInteger
Informal,volume,nonNegativeInteger
Report,volume,nonNegativeInteger
Book,volume,nonNegativeInteger
Manual,volume,nonNegativeInteger
Academic,volume,nonNegativeInteger
InCollection,volume,nonNegativeInteger
InBook,volume,nonNegativeInteger
Article,volume,nonNegativeInteger
InProceedings,volume,nonNegativeInteger
Unpublished,abstract,string
Part,abstract,string
Informal,abstract,string
Report,abstract,string
Book,abstract,string
Manual,abstract,string
Academic,abstract,string
InCollection,abstract,string
InBook,abstract,string
Article,abstract,string
InProceedings,abstract,string
Unpublished,key,string
Part,key,string
Informal,key,string
Report,key,string
Book,key,string
Manual,key,string
Academic,key,string
InCollection,key,string
InBook,key,string
Article,key,string
InProceedings,key,string
Unpublished,keywords,string
Part,keywords,string
Informal,keywords,string
Report,keywords,string
Book,keywords,string
Manual,keywords,string
Academic,keywords,string
InCollection,keywords,string
InBook,keywords,string
Article,keywords,string
InProceedings,keywords,string
Unpublished,price,string
Part,price,string
Informal,price,string
Report,price,string
Book,price,string
Manual,price,string
Academic,price,string
InCollection,price,string
InBook,price,string
Article,price,string
InProceedings,price,string
Unpublished,mrNumber,string
Part,mrNumber,string
Informal,mrNumber,string
Report,mrNumber,string
Book,mrNumber,string
Manual,mrNumber,string
Academic,mrNumber,string
InCollection,mrNumber,string
InBook,mrNumber,string
Article,mrNumber,string
InProceedings,mrNumber,string
Unpublished,contents,string
Part,contents,string
Informal,contents,string
Report,contents,string
Book,contents,string
Manual,contents,string
Academic,contents,string
InCollection,contents,string
InBook,contents,string
Article,contents,string
InProceedings,contents,string
Unpublished,isbn,string
Part,isbn,string
Informal,isbn,string
Report,isbn,string
Book,isbn,string
Manual,isbn,string
Academic,isbn,string
InCollection,isbn,string
InBook,isbn,string
Article,isbn,string
InProceedings,isbn,string
Unpublished,issue,string
Part,issue,string
Informal,issue,string
Report,issue,string
Book,issue,string
Manual,issue,string
Academic,issue,string
InCollection,issue,string
InBook,issue,string
Article,issue,string
InProceedings,issue,string
Unpublished,copyright,string
Part,copyright,string
Informal,copyright,string
Report,copyright,string
Book,copyright,string
Manual,copyright,string
Academic,copyright,string
InCollection,copyright,string
InBook,copyright,string
Article,copyright,string
InProceedings,copyright,string
InCollection,chapter,string
InBook,chapter,string
Article,chapter,string
InProceedings,chapter,string
Unpublished,title,string
Part,title,string
Informal,title,string
Report,title,string
Book,title,string
Manual,title,string
Academic,title,string
InCollection,title,string
InBook,title,string
Article,title,string
InProceedings,title,string
Unpublished,url,string
Part,url,string
Informal,url,string
Report,url,string
Book,url,string
Manual,url,string
Academic,url,string
InCollection,url,string
InBook,url,string
Article,url,string
InProceedings,url,string
