Article,sxqsnbvsq,qsdsquj
sqdsq,directors,dsqdbz
sqdsq,parts,Part
List,rest,List
Proceedings,organization,Organization
Manual,organization,Organization
Proceedings,PrSGUs,InProceedings
sqdsq,sqndsqgy,Date
zqedzbx,sqndsqgy,Date
sqdsq,location,Address
zqedzbx,location,Address
Proceedings,event,zqedzbx
zqedzbx,organizer,Organization
sqdsq,zand,dsqdbz
dqzdxdcsqj,institution,Institution
Part,proceedings,Proceedings
qsdsquj,YuEma,Article
sqdsq,publisher,Publisher
qsdsquj,publisher,Publisher
Part,pages,PageRange
sqdsq,zandsbh,Thing
vccfsq,book,Monograph
sqdsq,humanCreator,dsqdbz
dcsqdcsqd,collection,sqxsqkd
Thing,qzd,Address
sqdsq,dzajj,dsqdbz
sqdsq,chapters,Chapter
zdazsx,school,zadazxn
LectureNotes,school,zadazxn
