sqdsq,chapters,Chapter
sqdsq,parts,Part
Part,sxqsnbvsq,Journal
List,rest,List
Part,collection,Collection
sqdsq,date,Date
zqedzbx,date,Date
Proceedings,PrSGUs,InProceedings
Academic,school,School
LectureNotes,school,School
Proceedings,organization,Organization
Manual,organization,Organization
sqdsq,zandsbh,Thing
Journal,articles,Article
Proceedings,event,zqedzbx
Report,institution,Institution
sqdsq,author,dsqdbz
sqdsq,location,Address
zqedzbx,location,Address
zqedzbx,organizer,Organization
Part,proceedings,Proceedings
sqdsq,dzajj,dsqdbz
Part,book,Monograph
MotionPicture,directors,dsqdbz
Thing,qzd,Address
sqdsq,publisher,Publisher
Journal,publisher,Publisher
Part,pages,PageRange
sqdsq,humanCreator,dsqdbz
Unpublished,size,string
Part,size,string
Book,size,string
InProceedings,size,string
Report,size,string
InBook,size,string
Manual,size,string
Academic,size,string
qsdsnbsqd,size,string
Article,size,string
dcsqdcsqd,size,string
Unpublished,dsq,string
Part,dsq,string
Book,dsq,string
InProceedings,dsq,string
Report,dsq,string
InBook,dsq,string
Manual,dsq,string
Academic,dsq,string
qsdsnbsqd,dsq,string
Article,dsq,string
dcsqdcsqd,dsq,string
Unpublished,series,string
Part,series,string
Book,series,string
InProceedings,series,string
Report,series,string
InBook,series,string
Manual,series,string
Academic,series,string
qsdsnbsqd,series,string
Article,series,string
dcsqdcsqd,series,string
Unpublished,language,language
Part,language,language
Book,language,language
InProceedings,language,language
Report,language,language
InBook,language,language
Manual,language,language
Academic,language,language
qsdsnbsqd,language,language
Article,language,language
dcsqdcsqd,language,language
Unpublished,isbn,string
Part,isbn,string
Book,isbn,string
InProceedings,isbn,string
Report,isbn,string
InBook,isbn,string
Manual,isbn,string
Academic,isbn,string
qsdsnbsqd,isbn,string
Article,isbn,string
dcsqdcsqd,isbn,string
Unpublished,zdsnsqdv,string
Part,zdsnsqdv,string
Book,zdsnsqdv,string
InProceedings,zdsnsqdv,string
Report,zdsnsqdv,string
InBook,zdsnsqdv,string
Manual,zdsnsqdv,string
Academic,zdsnsqdv,string
qsdsnbsqd,zdsnsqdv,string
Article,zdsnsqdv,string
dcsqdcsqd,zdsnsqdv,string
Unpublished,reviewed,string
Part,reviewed,string
Book,reviewed,string
InProceedings,reviewed,string
Report,reviewed,string
InBook,reviewed,string
Manual,reviewed,string
Academic,reviewed,string
qsdsnbsqd,reviewed,string
Article,reviewed,string
dcsqdcsqd,reviewed,string
Unpublished,lccn,string
Part,lccn,string
Book,lccn,string
InProceedings,lccn,string
Report,lccn,string
InBook,lccn,string
Manual,lccn,string
Academic,lccn,string
qsdsnbsqd,lccn,string
Article,lccn,string
dcsqdcsqd,lccn,string
Unpublished,contents,string
Part,contents,string
Book,contents,string
InProceedings,contents,string
Report,contents,string
InBook,contents,string
Manual,contents,string
Academic,contents,string
qsdsnbsqd,contents,string
Article,contents,string
dcsqdcsqd,contents,string
Unpublished,url,string
Part,url,string
Book,url,string
InProceedings,url,string
Report,url,string
InBook,url,string
Manual,url,string
Academic,url,string
qsdsnbsqd,url,string
Article,url,string
dcsqdcsqd,url,string
Unpublished,dznbaln,string
Part,dznbaln,string
Book,dznbaln,string
InProceedings,dznbaln,string
Report,dznbaln,string
InBook,dznbaln,string
Manual,dznbaln,string
Academic,dznbaln,string
qsdsnbsqd,dznbaln,string
Article,dznbaln,string
dcsqdcsqd,dznbaln,string
Unpublished,copyright,string
Part,copyright,string
Book,copyright,string
InProceedings,copyright,string
Report,copyright,string
InBook,copyright,string
Manual,copyright,string
Academic,copyright,string
qsdsnbsqd,copyright,string
Article,copyright,string
dcsqdcsqd,copyright,string
Unpublished,zsbdgz,nonNegativeInteger
Part,zsbdgz,nonNegativeInteger
Book,zsbdgz,nonNegativeInteger
InProceedings,zsbdgz,nonNegativeInteger
Report,zsbdgz,nonNegativeInteger
InBook,zsbdgz,nonNegativeInteger
Manual,zsbdgz,nonNegativeInteger
Academic,zsbdgz,nonNegativeInteger
qsdsnbsqd,zsbdgz,nonNegativeInteger
Article,zsbdgz,nonNegativeInteger
dcsqdcsqd,zsbdgz,nonNegativeInteger
Unpublished,key,string
Part,key,string
Book,key,string
InProceedings,key,string
Report,key,string
InBook,key,string
Manual,key,string
Academic,key,string
qsdsnbsqd,key,string
Article,key,string
dcsqdcsqd,key,string
Unpublished,dsqndsz,string
Part,dsqndsz,string
Book,dsqndsz,string
InProceedings,dsqndsz,string
Report,dsqndsz,string
InBook,dsqndsz,string
Manual,dsqndsz,string
Academic,dsqndsz,string
qsdsnbsqd,dsqndsz,string
Article,dsqndsz,string
dcsqdcsqd,dsqndsz,string
Unpublished,issue,string
Part,issue,string
Book,issue,string
InProceedings,issue,string
Report,issue,string
InBook,issue,string
Manual,issue,string
Academic,issue,string
qsdsnbsqd,issue,string
Article,issue,string
dcsqdcsqd,issue,string
Unpublished,annote,string
Part,annote,string
Book,annote,string
InProceedings,annote,string
Report,annote,string
InBook,annote,string
Manual,annote,string
Academic,annote,string
qsdsnbsqd,annote,string
Article,annote,string
dcsqdcsqd,annote,string
InProceedings,dsazdjz,string
InBook,dsazdjz,string
Article,dsazdjz,string
dcsqdcsqd,dsazdjz,string
Unpublished,zqdszh,string
Part,zqdszh,string
Book,zqdszh,string
InProceedings,zqdszh,string
Report,zqdszh,string
InBook,zqdszh,string
Manual,zqdszh,string
Academic,zqdszh,string
qsdsnbsqd,zqdszh,string
Article,zqdszh,string
dcsqdcsqd,zqdszh,string
Unpublished,mrNumber,string
Part,mrNumber,string
Book,mrNumber,string
InProceedings,mrNumber,string
Report,mrNumber,string
InBook,mrNumber,string
Manual,mrNumber,string
Academic,mrNumber,string
qsdsnbsqd,mrNumber,string
Article,mrNumber,string
dcsqdcsqd,mrNumber,string
Unpublished,number,string
Part,number,string
Book,number,string
InProceedings,number,string
Report,number,string
InBook,number,string
Manual,number,string
Academic,number,string
qsdsnbsqd,number,string
Article,number,string
dcsqdcsqd,number,string
Unpublished,issn,string
Part,issn,string
Book,issn,string
InProceedings,issn,string
Report,issn,string
InBook,issn,string
Manual,issn,string
Academic,issn,string
qsdsnbsqd,issn,string
Article,issn,string
dcsqdcsqd,issn,string
Unpublished,affiliation,string
Part,affiliation,string
Book,affiliation,string
InProceedings,affiliation,string
Report,affiliation,string
InBook,affiliation,string
Manual,affiliation,string
Academic,affiliation,string
qsdsnbsqd,affiliation,string
Article,affiliation,string
dcsqdcsqd,affiliation,string
