Journal,articles,Article
List,rest,List
Report,institution,Institution
sqdsq,date,Date
zqedzbx,date,Date
sqdsq,directors,dsqdbz
sqdsq,sxqsnbvsq,Journal
Thing,qzd,Address
sqdsq,dzajj,dsqdbz
sqdsq,location,Address
zqedzbx,location,Address
Proceedings,PrSGUs,InProceedings
sqdsq,humanCreator,dsqdbz
sqdsq,publisher,Publisher
Journal,publisher,Publisher
sqdsq,book,Monograph
Proceedings,event,zqedzbx
sqdsq,zandsbh,Thing
sqdsq,school,School
Proceedings,organization,Organization
Manual,organization,Organization
sqdsq,pages,PageRange
sqdsq,author,dsqdbz
zqedzbx,organizer,Organization
sqdsq,collection,Collection
sqdsq,proceedings,Proceedings
sqdsq,parts,sqdsq
sqdsq,chapters,Chapter
Booklet,key,string
Monograph,key,string
Report,key,string
Manual,key,string
dcsqdcsqd,key,string
xsqlknk,key,string
LectureNotes,key,string
Proceedings,key,string
InBook,key,string
MotionPicture,key,string
Chapter,key,string
InProceedings,key,string
Deliverable,key,string
sdcsqhyz,key,string
Misc,key,string
PhdThesis,key,string
Collection,key,string
Unpublished,key,string
Article,key,string
Booklet,zsbdgz,nonNegativeInteger
Monograph,zsbdgz,nonNegativeInteger
Report,zsbdgz,nonNegativeInteger
Manual,zsbdgz,nonNegativeInteger
dcsqdcsqd,zsbdgz,nonNegativeInteger
xsqlknk,zsbdgz,nonNegativeInteger
LectureNotes,zsbdgz,nonNegativeInteger
Proceedings,zsbdgz,nonNegativeInteger
InBook,zsbdgz,nonNegativeInteger
MotionPicture,zsbdgz,nonNegativeInteger
Chapter,zsbdgz,nonNegativeInteger
InProceedings,zsbdgz,nonNegativeInteger
Deliverable,zsbdgz,nonNegativeInteger
sdcsqhyz,zsbdgz,nonNegativeInteger
Misc,zsbdgz,nonNegativeInteger
PhdThesis,zsbdgz,nonNegativeInteger
Collection,zsbdgz,nonNegativeInteger
Unpublished,zsbdgz,nonNegativeInteger
Article,zsbdgz,nonNegativeInteger
Booklet,mrNumber,string
Monograph,mrNumber,string
Report,mrNumber,string
Manual,mrNumber,string
dcsqdcsqd,mrNumber,string
xsqlknk,mrNumber,string
LectureNotes,mrNumber,string
Proceedings,mrNumber,string
InBook,mrNumber,string
MotionPicture,mrNumber,string
Chapter,mrNumber,string
InProceedings,mrNumber,string
Deliverable,mrNumber,string
sdcsqhyz,mrNumber,string
Misc,mrNumber,string
PhdThesis,mrNumber,string
Collection,mrNumber,string
Unpublished,mrNumber,string
Article,mrNumber,string
Booklet,zdsnsqdv,string
Monograph,zdsnsqdv,string
