Resource,softCopy,SoftCopy
Resource,firstAuthor,Person
Publication,editor,Person
Resource,relatedProject,Project
Resource,author,Person
Project,relatedResource,Resource
InProceedings,pages,string
InCollection,pages,string
Article,pages,string
MastersThesis,pages,string
TechReport,pages,string
Misc,pages,string
Book,pages,string
Proceedings,pages,string
PhdThesis,pages,string
InBook,pages,string
InProceedings,abstract,string
InCollection,abstract,string
Article,abstract,string
MastersThesis,abstract,string
TechReport,abstract,string
Misc,abstract,string
Book,abstract,string
Proceedings,abstract,string
PhdThesis,abstract,string
InBook,abstract,string
InProceedings,title,string
MastersThesis,title,string
TechReport,title,string
Misc,title,string
Book,title,string
SoftCopy,title,string
Publication,title,string
InCollection,title,string
Article,title,string
Proceedings,title,string
PhdThesis,title,string
InBook,title,string
InProceedings,number,string
InCollection,number,string
Article,number,string
MastersThesis,number,string
TechReport,number,string
Misc,number,string
Book,number,string
Proceedings,number,string
PhdThesis,number,string
InBook,number,string
InProceedings,school,string
InCollection,school,string
Article,school,string
MastersThesis,school,string
TechReport,school,string
Misc,school,string
Book,school,string
Proceedings,school,string
PhdThesis,school,string
InBook,school,string
InProceedings,type,string
MastersThesis,type,string
TechReport,type,string
Misc,type,string
Book,type,string
SoftCopy,type,string
Publication,type,string
InCollection,type,string
Article,type,string
Proceedings,type,string
PhdThesis,type,string
InBook,type,string
InProceedings,description,string
MastersThesis,description,string
TechReport,description,string
Misc,description,string
Book,description,string
SoftCopy,description,string
Publication,description,string
InCollection,description,string
Article,description,string
Proceedings,description,string
PhdThesis,description,string
InBook,description,string
InProceedings,booktitle,string
InCollection,booktitle,string
Article,booktitle,string
MastersThesis,booktitle,string
TechReport,booktitle,string
Misc,booktitle,string
Book,booktitle,string
Proceedings,booktitle,string
PhdThesis,booktitle,string
InBook,booktitle,string
InProceedings,publishedOn,dateTime
MastersThesis,publishedOn,dateTime
TechReport,publishedOn,dateTime
Misc,publishedOn,dateTime
Book,publishedOn,dateTime
SoftCopy,publishedOn,dateTime
Publication,publishedOn,dateTime
InCollection,publishedOn,dateTime
Article,publishedOn,dateTime
Proceedings,publishedOn,dateTime
PhdThesis,publishedOn,dateTime
InBook,publishedOn,dateTime
InProceedings,publisher,string
InCollection,publisher,string
Article,publisher,string
MastersThesis,publisher,string
TechReport,publisher,string
Misc,publisher,string
Book,publisher,string
Proceedings,publisher,string
PhdThesis,publisher,string
InBook,publisher,string
InProceedings,series,string
InCollection,series,string
Article,series,string
MastersThesis,series,string
TechReport,series,string
Misc,series,string
Book,series,string
Proceedings,series,string
PhdThesis,series,string
InBook,series,string
InProceedings,institution,string
InCollection,institution,string
Article,institution,string
MastersThesis,institution,string
TechReport,institution,string
Misc,institution,string
Book,institution,string
Proceedings,institution,string
PhdThesis,institution,string
InBook,institution,string
InProceedings,edition,string
InCollection,edition,string
Article,edition,string
MastersThesis,edition,string
TechReport,edition,string
Misc,edition,string
Book,edition,string
Proceedings,edition,string
PhdThesis,edition,string
InBook,edition,string
InProceedings,note,string
InCollection,note,string
Article,note,string
MastersThesis,note,string
TechReport,note,string
Misc,note,string
Book,note,string
Proceedings,note,string
PhdThesis,note,string
InBook,note,string
InProceedings,softCopySize,nonNegativeInteger
MastersThesis,softCopySize,nonNegativeInteger
TechReport,softCopySize,nonNegativeInteger
Misc,softCopySize,nonNegativeInteger
Book,softCopySize,nonNegativeInteger
SoftCopy,softCopySize,nonNegativeInteger
Publication,softCopySize,nonNegativeInteger
InCollection,softCopySize,nonNegativeInteger
Article,softCopySize,nonNegativeInteger
Proceedings,softCopySize,nonNegativeInteger
PhdThesis,softCopySize,nonNegativeInteger
InBook,softCopySize,nonNegativeInteger
InProceedings,chapter,string
InCollection,chapter,string
Article,chapter,string
MastersThesis,chapter,string
TechReport,chapter,string
Misc,chapter,string
Book,chapter,string
Proceedings,chapter,string
PhdThesis,chapter,string
InBook,chapter,string
InProceedings,version,string
MastersThesis,version,string
TechReport,version,string
Misc,version,string
Book,version,string
SoftCopy,version,string
Publication,version,string
InCollection,version,string
Article,version,string
Proceedings,version,string
PhdThesis,version,string
InBook,version,string
InProceedings,counter,nonNegativeInteger
InCollection,counter,nonNegativeInteger
Article,counter,nonNegativeInteger
MastersThesis,counter,nonNegativeInteger
TechReport,counter,nonNegativeInteger
Misc,counter,nonNegativeInteger
Book,counter,nonNegativeInteger
Proceedings,counter,nonNegativeInteger
PhdThesis,counter,nonNegativeInteger
InBook,counter,nonNegativeInteger
InProceedings,softCopyURI,anyURI
MastersThesis,softCopyURI,anyURI
TechReport,softCopyURI,anyURI
Misc,softCopyURI,anyURI
Book,softCopyURI,anyURI
SoftCopy,softCopyURI,anyURI
Publication,softCopyURI,anyURI
InCollection,softCopyURI,anyURI
Article,softCopyURI,anyURI
Proceedings,softCopyURI,anyURI
PhdThesis,softCopyURI,anyURI
InBook,softCopyURI,anyURI
InProceedings,softCopyFormat,string
MastersThesis,softCopyFormat,string
TechReport,softCopyFormat,string
Misc,softCopyFormat,string
Book,softCopyFormat,string
SoftCopy,softCopyFormat,string
Publication,softCopyFormat,string
InCollection,softCopyFormat,string
Article,softCopyFormat,string
Proceedings,softCopyFormat,string
PhdThesis,softCopyFormat,string
InBook,softCopyFormat,string
InProceedings,journal,string
InCollection,journal,string
Article,journal,string
MastersThesis,journal,string
TechReport,journal,string
Misc,journal,string
Book,journal,string
Proceedings,journal,string
PhdThesis,journal,string
InBook,journal,string
InProceedings,keyword,string
MastersThesis,keyword,string
TechReport,keyword,string
Misc,keyword,string
Book,keyword,string
SoftCopy,keyword,string
Publication,keyword,string
InCollection,keyword,string
Article,keyword,string
Proceedings,keyword,string
PhdThesis,keyword,string
InBook,keyword,string
InProceedings,address,string
InCollection,address,string
Article,address,string
MastersThesis,address,string
TechReport,address,string
Misc,address,string
Book,address,string
Proceedings,address,string
PhdThesis,address,string
InBook,address,string
InProceedings,volume,string
InCollection,volume,string
Article,volume,string
MastersThesis,volume,string
TechReport,volume,string
Misc,volume,string
Book,volume,string
Proceedings,volume,string
PhdThesis,volume,string
InBook,volume,string
InProceedings,organization,string
InCollection,organization,string
Article,organization,string
MastersThesis,organization,string
TechReport,organization,string
Misc,organization,string
Book,organization,string
Proceedings,organization,string
PhdThesis,organization,string
InBook,organization,string
