restaurant,has_offer,food
pay_bills,has_method___pay_bills,payment
means_of_transport,be_used_for,transfer
river,has_length_unit___river,length_unit
city,has_railway_to___city,political_area
traveller,shouldnot_travel_to,area
person,has_birthplace,political_area
GDP_per_head,has_value___GDP_per_head,INTEGER
jaunt,has_duration,INTEGER
art,has_festival,festival
lodging,has_level___lodging,level
eating,has_level___eating,level
population,has_rate___growth,rate
river,flow_to,sea
city,has_infrastructure,infrastructure
country,has_economical_fact,economical_fact
political_area,has_member,country
city,has_rivertransport_to___city,political_area
adventure,need_equipment,STRING
industry,lie_in___locatable_thing___industry,political_area
political_area,has_rivertransport_to___political_area,political_area
town,has_garden,garden
jaunt,has_time_unit,time_unit
sea,has_backdrop,mountain
city,belong_to___city,country
transfer,has_middle,means_of_transport
nature_area,is_close_to,area
locatable_thing,lie_in___locatable_thing___locatable_thing,political_area
lodging,cost_money___lodging,INTEGER
festival,is_on,time_unit
infrastructure,lie_in___locatable_thing___infrastructure,city
transfer,is_from,political_area
country,has_capital_city,city
jaunt,has_method___jaunt,land_transfer
document,belong_to___document,traveller
attractions_of_city,lie_in___locatable_thing___attractions_of_city,city
GDP,has_value___GDP,INTEGER
lodging,has_monetary_unit___lodging,monetary__unit
jaunt,has_distance,INTEGER
political_area,has_major_TradingPartner,political_area
country,has_potitical_fact,political_fact
political_area,has_railway_to___political_area,political_area
jaunt,has_length_unit___jaunt,length_unit
causal_agent,exist_in,political_area
eating,cost_money___eating,INTEGER
traveller,require_visa,BOOLEAN
country,has_border,country
country,has_major_river,river
GDP_per_head,has_monetary_unit___GDP_per_head,monetary__unit
person,has_gender,gender
adventure,has_place,location
inflation,has_rate___inflation,rate
city,has_attractions,attractions_of_city
eating,has_monetary_unit___eating,monetary__unit
area,has_danger,danger
country,has_president,president
transfer,has_destination,political_area
festival,is_at,area
country,has_major_industry,industry
time_zone,include_city,city
annual_growth,has_rate___annual_growth,rate
person,belong_to___person,ethnic
GDP,has_monetary_unit___GDP,monetary__unit
