The result of  mouse and human £º
**************************************
kidney,kidney,0.9431799222533291 (Right)
urethra,urethra,0.9413955828849309 (Right)
lung,lung,0.9374907304507638 (Right)
lateral ventricle,lateral_ventricle,0.9285290003910215 (Right)
vertebra,vertebra,0.9268023849289411 (Right)
sympathetic ganglion,sympathetic_ganglion,0.9262845733617298 (Right)
peripheral nerve,peripheral_nerve,0.9256022452388925 (Right)
spinal cord,spinal_cord,0.9256022452388925 (Right)
spleen,spleen,0.9250275465195039 (Right)
brain white matter,brain_white_matter,0.9249756885319516 (Right)
tooth,tooth,0.9244232777018451 (Right)
rib,rib,0.9235928359663876 (Right)
brain ventricle,ventricle_brain,0.9229454647012673 (Right)
gall bladder,gallbladder,0.9216862503680044 (Right)
choroid plexus,choroid_plexus,0.919245144588034 (Right)
intestine,intestine,0.9186392641375454 (Right)
uterus,uterus,0.9186074058587027 (Right)
salivary gland,salivary_gland,0.9185526347606406 (Right)
head/neck muscle,head_and_neck_muscle,0.9169600283131331 (Right)
lymph node,lymph_node,0.9152888629818853 (Right)
testis,testis,0.9143522970936833 (Right)
ureter,ureter,0.9143522970936833 (Right)
exocrine pancreas,exocrine_pancreas,0.9143522970936833 (Right)
pelvis bone,pelvic_bone,0.9143522970936833 (Right)
vulva,vulva,0.9143522970936833 (Right)
penis,penis,0.9143522970936833 (Right)
blood,blood,0.9143522970936833 (Right)
liver,liver,0.9143522970936833 (Right)
fourth ventricle,fourth_ventricle_of_the_brain,0.9141424476780753 (Right)
artery,artery,0.9138135168989068 (Right)
renal tubule,renal_tubule,0.9131431371813029 (Right)
tonsil,tonsil,0.9115135430748023 (Right)
adrenal gland,adrenal_gland,0.9115135430748023 (Right)
seminal vesicle,seminal_vesicle,0.9086455320128555 (Right)
trunk skin,skin_of_the_trunk,0.9086455320128555 (Right)
epididymis,epididymis,0.9086455320128555 (Right)
thymus,thymus_gland,0.9086455320128555 (Right)
vas deferens,vas_deferens,0.9086455320128555 (Right)
vagina,vagina,0.9086455320128555 (Right)
vein,vein,0.9080708525248411 (Right)
muscle,muscle,0.9080708525248411 (Right)
blood vessel,blood_vessel,0.9080708525248411 (Right)
third ventricle,third_ventricle_of_brain,0.9061747827098999 (Right)
ovary,ovary,0.9032269325683567 (Right)
bronchiole,bronchiole,0.9032269325683567 (Right)
cerebellum white matter,cerebellum_white_matter,0.902156073301428 (Right)
cerebral white matter,cerebral_white_matter,0.9014932363471829 (Right)
foot skin,foot_skin,0.8953484449921119 (Right)
