wnver::2.1
1740n 179911247 ROOT
1930n 76366807
2119n 103416177
2236n 103416173
2533n 3367511
2819n 1
2929n 11
3037n 75
3122n 47622439
3991n 19704947
4359n 17637204
4576n 17546823
5816n 5
5959n 1
6085n 63220
6216n 1
6300n 27093
7127n 16617660
7626n 15727447
15024n 1086709
16858n 463173
18635n 1219578
19102n 5871910
20429n 864081
20846n 18385982
21810n 145834
22007n 38507908
22178n 12877796
22680n 343851
23153n 18568651
23591n 7886574
25099n 981107
26074n 8671251
26552n 1372920
26997n 683304
27378n 16194
27734n 3
27841n 1623
28105n 25286259
28404n 2887277
29085n 18899524
29714n 10992729
30334n 6169231
31026n 2326540
31236n 20880
31433n 15228765
32028n 13812013
32604n 1364488
32870n 74062
32965n 28584
33168n 3
33330n 111
33580n 1685699
34088n 194
34282n 405
34452n 211
34733n 9
34896n 1293501
35417n 582
35501n 16
35611n 7135
35807n 5747381
36532n 5
36619n 131324
36930n 36
37220n 57
37378n 47184
37568n 230
37654n 18174
37902n 2324
38097n 146
38273n 1155
38347n 1152
38509n 25463
38777n 159
38902n 1
39161n 24868
39319n 17753
39545n 13337
39825n 24662
39971n 3
40097n 731
40256n 119270
40668n 115105
40898n 4348
41114n 123561
41469n 1
41548n 120091
41944n 24101
42237n 48969
42485n 229588
42790n 7338
43008n 5090
43235n 87
43449n 5
43585n 276514
43981n 2094
44242n 25080
44512n 50920
44668n 6215
44846n 118732
45342n 61
45430n 14959
45680n 1
45874n 60
46069n 21920
46265n 79
46375n 63293
46549n 27175
46698n 73194
46980n 990
47152n 19181
47327n 19911
47668n 170
47854n 548
47960n 20
48113n 15
48233n 900
48361n 2696
48519n 26096
48808n 140
49017n 1314
49211n 18344
49401n 553
49516n 18128
49709n 361
49849n 620
50036n 46
50221n 13
50376n 182
50470n 133
50658n 2427
50824n 2640
51115n 93
51344n 46
51421n 26920
51729n 8
51849n 16
51933n 1507
52130n 188
52236n 14267
52585n 29
52740n 4806
52909n 634
53126n 2
53315n 2
53403n 923
53721n 2
53881n 3
54020n 2
54175n 355
54399n 1088
54639n 2
54776n 3
55000n 1424
55250n 1
55394n 82
55574n 4191
55763n 1842
55854n 2
56110n 48
56355n 27
56445n 414
56627n 1418
56716n 12
56851n 50644
57235n 32153
57484n 2441
57660n 29246
57836n 246
58003n 257
58097n 8034
58309n 220
58522n 408
58656n 1
58855n 2
58925n 21
59122n 326
59279n 117
59398n 1359
59561n 1
59706n 21708
59900n 71
60025n 1587
60241n 19371
60439n 3
60559n 679
60779n 1
60914n 202268
61122n 22109
61418n 274
61667n 188
61760n 167364
62126n 4664
62259n 225
62459n 278
62574n 20068
62859n 16079
63149n 9
63267n 734
63387n 1892
63469n 47
63626n 13618
63906n 7136
64126n 1
64267n 262956
64448n 13474
64687n 196056
64952n 2440
65204n 1
65305n 15877
65448n 1074
65559n 25108
65701n 10420
65976n 1637
66156n 3398
66319n 1343
66603n 16
66741n 1651
66887n 3448
67046n 1
67159n 449
67430n 12
67590n 109
67671n 1
67801n 13
67904n 48
68063n 1
68201n 64
68349n 1431
68448n 23
68627n 1994
68775n 1
68933n 59383
69514n 5
69668n 1
69832n 68
70036n 5963
70229n 6859
70441n 2912
70659n 170
70776n 432
71000n 110
71145n 244
71493n 1
71681n 937
71796n 2460
72060n 10
72292n 255
72492n 710
72592n 14995
72758n 12644
73251n 1
73402n 1162
73549n 7
73721n 2208
73843n 149
74003n 124
74127n 2534
74254n 63
74324n 27
74494n 5872
74815n 10259
75100n 8
75180n 12
75350n 59091
75787n 1
75912n 2359
76130n 178
76306n 4
76413n 139
76698n 1
76895n 19896
77089n 682
77275n 5176
77480n 4
77629n 3
77785n 34
77973n 4
78119n 104
78351n 1
78496n 1
78620n 20580
78845n 44628
79051n 108
79272n 1
79449n 14246
79713n 8421
79958n 5123
80100n 1
80224n 1
80402n 2743
80631n 2407
80747n 5494
81137n 32207
81325n 26726
81462n 2998
81606n 301
81852n 7762
82015n 3720
82286n 52
82539n 91
82685n 3
82863n 3360
83076n 86
83322n 250
83473n 1448
83784n 86
83941n 264
84191n 20
84298n 673
84453n 4870
84773n 824
84918n 184
85123n 28811
85363n 18455
85549n 547
85854n 58
86067n 1
86181n 19629
86425n 10153
86727n 1134
86934n 39
87051n 20064
87357n 40
87591n 203
87776n 39
87953n 4377
88093n 5898
88310n 1
88479n 11979
88713n 1667
88934n 898
89104n 556
89203n 275
89370n 6
89479n 5
89593n 42
89677n 2
89912n 32
90066n 1490
90363n 20
90547n 20
90713n 111
90834n 1
91061n 185
91190n 19514
91581n 18
91708n 5326
91951n 767
92211n 377
92499n 2590
92665n 6
92832n 514
93040n 369
93213n 26748
93584n 1
93682n 602
93922n 331
94054n 331
94224n 834
94431n 1
94562n 362
94680n 229
94833n 212
94955n 99
95059n 178
95215n 23119
95616n 44
95744n 5435
95984n 63690
96181n 1
96298n 1
96420n 2
96626n 11
96798n 230
96947n 223
97158n 314
97310n 7240
97612n 17929
97796n 1
97902n 7140
98248n 79
98362n 1109
98550n 13053
98769n 219
98929n 1
99067n 335
99168n 1714
99398n 4
99521n 92
99733n 11
99816n 608
100138n 45
100286n 2
100499n 14001
100650n 772
100778n 9661
100949n 9654
101096n 3
101193n 13398
101447n 10
101608n 1777
101768n 4222
101891n 55507
102326n 847
102514n 262
102621n 536
102829n 4006
102974n 94
103170n 9816
103454n 2986
103622n 32474
104076n 75
104238n 1139
104366n 55
104487n 1
104629n 30
104750n 8744
104901n 2
105034n 1
105225n 3482
105429n 118
105529n 6005
105775n 1
105893n 1
106013n 1
106166n 9
106313n 62
106429n 45
106575n 6
106762n 6993
107119n 1
107240n 3
107405n 2442
107763n 1
107870n 26
108061n 2
108150n 1
108280n 8
108538n 1
108674n 1624
108819n 740
108976n 2
109155n 1
109278n 1
109388n 1
109501n 36
109628n 67262
109990n 3045
110144n 817
110313n 469
110429n 55231
110866n 4822
111060n 596
111288n 57
111429n 216
111632n 29
111765n 28392
112205n 1137
112370n 8639
112626n 496
112834n 968
113001n 11247
113137n 80
113342n 177
113456n 231
113710n 12482
114021n 3350
114323n 15
114458n 1
114601n 2
114912n 200
115145n 78
115294n 867
115603n 1069
115780n 16
115887n 799
116068n 654
116414n 15
116545n 14
116632n 3
116737n 1
116903n 1130
117047n 51768
117372n 31253
117489n 756
117681n 14723
117994n 1395
118126n 75
118283n 215
118422n 933
118645n 7316
118845n 4612
119124n 2128
119383n 2029
119585n 784
119817n 702
120009n 2068
120140n 22802
120433n 2410
120622n 1
120713n 8011
120909n 5252
121131n 8
121262n 416
121487n 5
121630n 113
121735n 3
121821n 16
122015n 21
122096n 48
122245n 7
122359n 16089
122605n 1361
122794n 19
122915n 4787
123108n 58613
123579n 19
123715n 3228
123926n 37
124063n 396
124200n 427
124365n 1477
124500n 269
124630n 167
124765n 17972
125010n 33434
125133n 4738
125309n 1
125534n 1
125767n 10
125920n 3
126081n 7223
126310n 1206
126419n 1
126532n 1988
126760n 862
126878n 699
126970n 151602
127186n 20745
127536n 22278
127790n 217
127955n 216
128116n 1
128289n 1531
128431n 3
128534n 37981
128791n 2
128929n 31253
129052n 523
129235n 61
129321n 1
129435n 3
129549n 1
129663n 7
129799n 225
129941n 1
130045n 20576
130200n 8186
130426n 768
130604n 19
130678n 798
130782n 4523
131011n 15
131112n 1169
131319n 15
131425n 32
131543n 290
131690n 5
131835n 40
131916n 24
132018n 1664
132224n 9409
132567n 10147
132730n 1208
