wnver::2.1
1740n 48317961.9806569 ROOT
1930n 22690926.4076174
2119n 25613399.9589369
2236n 25613395.9589369
2533n 729911.424589146
2819n 1
2929n 11
3037n 25.6666666666666
3122n 13743377.9504171
3991n 4238579.80109606
4359n 5859615.71758392
4576n 5843751.88425059
5816n 3
5959n 1
6085n 6389.57142856844
6216n 1
6300n 9406.26190476161
7127n 5469658.84039299
7626n 5213360.87268015
15024n 349682.85246468
16858n 193258.786811393
18635n 237900.434173767
19102n 2186703.5525046
20429n 272598.302875348
20846n 3968898.28780142
21810n 22938.3795634911
22007n 9158908.92764686
22178n 3208109.48214627
22680n 97503.6418290014
23153n 4437962.31915032
23591n 1878659.28890141
25099n 250090.855047719
26074n 3310933.36829407
26552n 415903.412201007
26997n 311204.745454579
27378n 3247.45833333333
27734n 3
27841n 422.25
28105n 5853293.80367158
28404n 561264.639713566
29085n 4437409.19221626
29714n 2854281.74598572
30334n 1426300.80339309
31026n 612954.091321128
31236n 4579.05714285697
31433n 3289582.03595541
32028n 4417505.72016899
32604n 242539.567406708
32870n 5909.98076922348
32965n 4450.43333333339
33168n 3
33330n 111
33580n 421724.82639156
34088n 104.5
34282n 102
34452n 72.1666666666667
34733n 5
34896n 334191.045062519
35417n 291.5
35501n 16
35611n 881.666666666652
35807n 1293634.7900043
36532n 3
36619n 14562.6570512885
36930n 18.5
37220n 29
37378n 8932.12658730146
37568n 230
37654n 2367.31944444414
37902n 291.375
38097n 73.5
38273n 1155
38347n 384.666666666662
38509n 4675.80714285732
38777n 80
38902n 1
39161n 4449.14047619066
39319n 2713.69047619063
39545n 4655.33333333383
39825n 1571.5294117639
39971n 3
40097n 244.333333333336
40256n 52299.5864774118
40668n 26447.9476190398
40898n 832.571428571453
41114n 46112.0333332968
41469n 1
41548n 36866.9681818172
41944n 7721.50000000061
42237n 14944.1071428572
42485n 44395.9949300964
42790n 1447.07142857141
43008n 2401.16666666666
43235n 87
43449n 3
43585n 54104.3637077792
43981n 462.499999999985
44242n 8517.29920634947
44512n 5508.61186868605
44668n 1587.93636363635
44846n 24560.3867077391
45342n 61
45430n 3041.39999999948
45680n 1
45874n 60
46069n 2843.25
46265n 79
46375n 21098.4999999948
46549n 8082.50000000009
46698n 13782.4769230772
46980n 330.666666666665
47152n 4861.83333333336
47327n 6069.19999999984
47668n 57.3333333333335
47854n 110.400000000001
47960n 7.33333333333333
48113n 4.5
48233n 450.5
48361n 837.300000000034
48519n 3112.53846153862
48808n 35.75
49017n 330.75
49211n 1695.5384615387
49401n 277
49516n 1767.5384615387
