wnver::2.1
1740n 1934812 ROOT
1930n 890874
2119n 1042841
2236n 1042840
2533n 38513
2819n 1
2929n 1
3037n 3
3122n 554348
3991n 213992
4359n 223703
4576n 222539
5816n 1
5959n 1
6085n 761
6216n 1
6300n 401
7127n 203375
7626n 192387
15024n 17284
16858n 9909
18635n 14664
19102n 61575
20429n 10328
20846n 198217
21810n 1356
22007n 399622
22178n 137680
22680n 3519
23153n 196838
23591n 85804
25099n 12277
26074n 97456
26552n 15208
26997n 7342
27378n 254
27734n 1
27841n 20
28105n 258422
28404n 33062
29085n 191959
29714n 118513
30334n 51997
31026n 21786
31236n 200
31433n 147094
32028n 127301
32604n 16770
32870n 678
32965n 343
33168n 1
33330n 1
33580n 16541
34088n 6
34282n 23
34452n 3
34733n 1
34896n 12856
35417n 13
35501n 1
35611n 69
35807n 58447
36532n 1
36619n 1162
36930n 2
37220n 2
37378n 417
37568n 7
37654n 153
37902n 49
38097n 1
38273n 7
38347n 16
38509n 236
38777n 1
38902n 1
39161n 225
39319n 154
39545n 133
39825n 270
39971n 1
40097n 1
40256n 1150
40668n 1166
40898n 24
41114n 985
41469n 1
41548n 1200
41944n 188
42237n 514
42485n 2351
42790n 134
43008n 64
43235n 2
43449n 1
43585n 3029
43981n 15
44242n 258
44512n 452
44668n 75
44846n 933
45342n 2
45430n 156
45680n 1
45874n 1
46069n 228
46265n 2
46375n 400
46549n 262
46698n 817
46980n 11
47152n 176
47327n 235
47668n 2
47854n 6
47960n 2
48113n 1
48233n 14
48361n 34
48519n 278
48808n 4
49017n 5
49211n 199
49401n 3
49516n 200
49709n 1
49849n 18
50036n 1
50221n 1
50376n 2
50470n 1
50658n 31
50824n 43
51115n 2
51344n 3
51421n 267
51729n 1
51849n 1
51933n 18
52130n 4
52236n 114
52585n 2
52740n 42
52909n 11
53126n 1
53315n 1
53403n 18
53721n 1
53881n 1
54020n 1
54175n 2
54399n 12
54639n 1
54776n 1
55000n 18
55250n 1
55394n 2
55574n 14
55763n 17
55854n 1
56110n 2
56355n 1
56445n 6
56627n 9
56716n 1
56851n 448
57235n 259
57484n 27
57660n 217
57836n 4
58003n 12
58097n 65
58309n 2
58522n 5
58656n 1
58855n 1
58925n 1
59122n 2
59279n 1
59398n 32
59561n 1
59706n 241
59900n 5
60025n 27
60241n 195
60439n 1
60559n 14
60779n 1
60914n 1973
61122n 231
61418n 1
61667n 2
61760n 1658
62126n 35
62259n 1
62459n 4
62574n 262
62859n 122
63149n 1
63267n 12
63387n 8
63469n 1
63626n 163
63906n 70
64126n 1
64267n 3104
64448n 127
64687n 2241
64952n 18
65204n 1
65305n 161
65448n 3
65559n 294
65701n 166
65976n 17
66156n 18
66319n 13
66603n 1
66741n 18
66887n 15
67046n 1
67159n 8
67430n 1
67590n 1
67671n 1
67801n 1
67904n 1
68063n 1
68201n 1
68349n 16
68448n 1
68627n 20
68775n 1
68933n 760
69514n 1
69668n 1
69832n 2
70036n 79
70229n 110
70441n 49
70659n 2
70776n 14
71000n 3
71145n 6
71493n 1
71681n 10
71796n 26
72060n 1
72292n 1
72492n 12
72592n 140
72758n 217
73251n 1
73402n 22
73549n 1
73721n 38
73843n 4
74003n 2
74127n 27
74254n 1
74324n 1
74494n 115
74815n 151
75100n 1
75180n 1
75350n 623
75787n 1
75912n 13
76130n 2
76306n 2
76413n 1
76698n 1
76895n 185
77089n 5
77275n 32
77480n 1
77629n 1
77785n 1
77973n 1
78119n 1
78351n 1
78496n 1
78620n 216
78845n 336
79051n 1
79272n 1
79449n 116
79713n 67
79958n 47
80100n 1
80224n 1
80402n 51
80631n 27
80747n 65
81137n 360
81325n 295
81462n 29
81606n 22
81852n 82
82015n 24
82286n 1
82539n 1
82685n 1
82863n 39
83076n 1
83322n 2
83473n 17
83784n 1
83941n 3
84191n 1
84298n 6
84453n 50
84773n 11
84918n 3
85123n 143
85363n 68
85549n 3
85854n 1
86067n 1
86181n 146
86425n 96
86727n 19
86934n 3
87051n 209
87357n 1
87591n 1
87776n 1
87953n 49
88093n 35
88310n 1
88479n 88
88713n 19
88934n 6
89104n 4
89203n 2
89370n 2
89479n 1
89593n 3
89677n 1
89912n 1
90066n 5
90363n 2
90547n 2
90713n 2
90834n 1
91061n 1
91190n 217
91581n 1
91708n 88
91951n 15
92211n 11
92499n 31
92665n 1
92832n 7
93040n 2
93213n 223
93584n 1
93682n 5
93922n 6
94054n 6
94224n 31
94431n 1
94562n 5
94680n 4
94833n 4
94955n 2
95059n 5
95215n 250
95616n 1
95744n 63
95984n 412
96181n 1
96298n 1
96420n 1
96626n 2
96798n 2
96947n 4
97158n 3
97310n 104
97612n 238
97796n 1
97902n 90
98248n 1
98362n 7
98550n 133
98769n 5
98929n 1
99067n 6
99168n 17
99398n 1
99521n 2
99733n 2
99816n 12
100138n 1
100286n 1
100499n 163
100650n 5
100778n 144
100949n 142
101096n 1
101193n 173
101447n 1
101608n 39
101768n 40
101891n 689
102326n 5
102514n 3
102621n 8
102829n 53
102974n 1
103170n 128
103454n 25
103622n 405
104076n 2
104238n 14
104366n 3
104487n 1
104629n 2
104750n 112
104901n 1
105034n 1
105225n 65
105429n 1
105529n 103
105775n 2
105893n 1
106013n 1
106166n 2
106313n 1
106429n 1
106575n 1
106762n 64
107119n 2
107240n 3
107405n 21
107763n 1
107870n 3
108061n 1
108150n 1
108280n 2
108538n 1
108674n 6
108819n 2
108976n 1
109155n 1
109278n 1
109388n 1
109501n 1
109628n 779
109990n 33
110144n 5
110313n 4
110429n 650
110866n 71
111060n 7
111288n 1
111429n 4
111632n 2
111765n 269
112205n 13
112370n 72
112626n 2
112834n 10
113001n 88
113137n 1
113342n 3
113456n 1
113710n 95
114021n 59
114323n 1
114458n 1
114601n 1
114912n 5
115145n 3
115294n 22
115603n 14
115780n 1
115887n 16
116068n 8
116414n 1
116545n 1
116632n 2
116737n 1
116903n 10
117047n 288
117372n 3
117489n 5
117681n 234
117994n 13
118126n 3
118283n 4
118422n 15
118645n 87
118845n 52
119124n 19
119383n 17
119585n 2
119817n 12
120009n 23
120140n 435
120433n 26
120622n 1
120713n 206
120909n 154
121131n 3
121262n 10
121487n 1
121630n 1
121735n 1
121821n 3
122015n 1
122096n 3
122245n 1
122359n 113
122605n 18
122794n 2
122915n 54
123108n 337
123579n 2
123715n 27
123926n 1
124063n 9
124200n 3
124365n 10
124500n 2
124630n 17
124765n 191
125010n 338
125133n 32
125309n 1
125534n 1
125767n 2
125920n 4
126081n 83
126310n 19
126419n 2
126532n 14
126760n 7
126878n 3
126970n 1737
127186n 321
127536n 364
127790n 3
127955n 2
