wnver::2.1
1740n 1863963 ROOT
1930n 1014808
2119n 848259
2236n 848258
2533n 34066
2819n 1
2929n 2
3037n 6
3122n 588041
3991n 172686
4359n 326792
4576n 325484
5816n 1
5959n 1
6085n 1061
6216n 1
6300n 245
7127n 299238
7626n 288612
15024n 23426
16858n 11140
18635n 13067
19102n 70299
20429n 9645
20846n 159274
21810n 993
22007n 334644
22178n 120309
22680n 4847
23153n 190934
23591n 93678
25099n 24337
26074n 71826
26552n 10799
26997n 6790
27378n 91
27734n 1
27841n 7
28105n 209487
28404n 23163
29085n 152630
29714n 71199
30334n 36943
31026n 15479
31236n 28
31433n 127651
32028n 86240
32604n 11733
32870n 691
32965n 823
33168n 1
33330n 1
33580n 13792
34088n 6
34282n 1
34452n 1
34733n 1
34896n 11050
35417n 2
35501n 1
35611n 52
35807n 46149
36532n 1
36619n 774
36930n 1
37220n 1
37378n 46
37568n 1
37654n 8
37902n 5
38097n 1
38273n 126
38347n 1
38509n 36
38777n 1
38902n 1
39161n 27
39319n 10
39545n 38
39825n 334
39971n 1
40097n 2
40256n 646
40668n 690
40898n 10
41114n 2391
41469n 1
41548n 766
41944n 152
42237n 298
42485n 1387
42790n 38
43008n 4
43235n 2
43449n 1
43585n 2147
43981n 1
44242n 211
44512n 430
44668n 186
44846n 1375
45342n 1
45430n 22
45680n 1
45874n 1
46069n 28
46265n 1
46375n 108
46549n 171
46698n 539
46980n 1
47152n 160
47327n 52
47668n 3
47854n 5
47960n 1
48113n 1
48233n 4
48361n 1
48519n 246
48808n 16
49017n 1
49211n 215
49401n 1
49516n 215
49709n 1
49849n 3
50036n 1
50221n 1
50376n 2
50470n 1
50658n 5
50824n 10
51115n 2
51344n 1
51421n 1089
51729n 1
51849n 1
51933n 3
52130n 2
52236n 74
52585n 1
52740n 33
52909n 3
53126n 1
53315n 1
53403n 4
53721n 1
53881n 1
54020n 1
54175n 1
54399n 2
54639n 1
54776n 1
55000n 29
55250n 1
55394n 1
55574n 1
55763n 4
55854n 1
56110n 2
56355n 1
56445n 2
56627n 986
56716n 1
56851n 426
57235n 121
57484n 29
57660n 84
57836n 1
58003n 2
58097n 220
58309n 1
58522n 1
58656n 1 ROOT
58855n 1
58925n 1 ROOT
59122n 3
59279n 1
59398n 75
59561n 1
59706n 168
59900n 3
60025n 2
60241n 161
60439n 1
60559n 2
60779n 1
60914n 1955
61122n 30
61418n 1
61667n 1
61760n 1870
62126n 5
62259n 1
62459n 8
62574n 261
62859n 223
63149n 1
63267n 33
63387n 1
63469n 1
63626n 169
63906n 53
64126n 1
64267n 2650
64448n 50
64687n 1762
64952n 7
65204n 1
65305n 139
65448n 5
65559n 437
65701n 303
65976n 4
66156n 2
66319n 10
66603n 1
66741n 1
66887n 47
67046n 1
67159n 10
67430n 1
67590n 2
67671n 1
67801n 2
67904n 1
68063n 1
68201n 2
68349n 7
68448n 1
68627n 1
68775n 1
68933n 802
69514n 1
69668n 1
69832n 1
70036n 46
70229n 95
70441n 35
70659n 3
70776n 5
71000n 1
71145n 2
71493n 1
71681n 1
71796n 30
72060n 1
72292n 1
72492n 4
72592n 58
72758n 110
73251n 1
73402n 18
73549n 1
73721n 26
73843n 4
74003n 1
74127n 29
74254n 1
74324n 1
74494n 23
74815n 314
75100n 1
75180n 1
75350n 327
75787n 1
75912n 13
76130n 1
76306n 1
76413n 1
76698n 1
76895n 50
77089n 10
77275n 7
77480n 1
77629n 1
77785n 1
77973n 1
78119n 1
78351n 1
78496n 1
78620n 594
78845n 399
79051n 1
79272n 1
79449n 9
79713n 2
79958n 1
80100n 1
80224n 1
80402n 9
80631n 18
80747n 2
81137n 7
81325n 5
81462n 14
81606n 1
81852n 53
82015n 12
82286n 1
82539n 1
82685n 1
82863n 34
83076n 4
83322n 3
83473n 17
83784n 1
83941n 2
84191n 1
84298n 7
84453n 13
84773n 1
84918n 4
85123n 124
85363n 8
85549n 3
85854n 1
86067n 1
86181n 212
86425n 158
86727n 45
86934n 1
87051n 220
87357n 1
87591n 1
87776n 1
87953n 14
88093n 14
88310n 1
88479n 60
88713n 10
88934n 5
89104n 1
89203n 4
89370n 2
89479n 1
89593n 1
89677n 1
89912n 1
90066n 1
90363n 1
90547n 1
90713n 2
90834n 1
91061n 1
91190n 139
91581n 1
91708n 59
91951n 9
92211n 4
92499n 4
92665n 1
92832n 30
93040n 25
93213n 75
93584n 1
93682n 7
93922n 1
94054n 1
94224n 7
94431n 1
94562n 58
94680n 1
94833n 1
94955n 5
95059n 1
95215n 73
95616n 1
95744n 2
95984n 482
96181n 1
96298n 1
96420n 1
96626n 1
96798n 2
96947n 1
97158n 7
97310n 110
97612n 90
97796n 1
97902n 12
98248n 1
98362n 5
98550n 35
98769n 4
98929n 1
99067n 3
99168n 5
99398n 1
99521n 1
99733n 1
99816n 2
100138n 1
100286n 1
100499n 53
100650n 1
100778n 52
100949n 50
101096n 1
101193n 103
101447n 1
101608n 1
101768n 13
101891n 693
102326n 5
102514n 7
102621n 16
102829n 85
102974n 2
103170n 141
103454n 33
103622n 289
104076n 1
