wnver::2.1
1740n 2319578 ROOT
1930n 946029
2119n 1372556
2236n 1372555
2533n 30553
2819n 2
2929n 2
3037n 3
3122n 598084
3991n 236782
4359n 231505
4576n 230823
5816n 1
5959n 1
6085n 334
6216n 1
6300n 345
7127n 210447
7626n 200381
15024n 13073
16858n 14697
18635n 15664
19102n 68441
20429n 10735
20846n 219466
21810n 1625
22007n 481359
22178n 125913
22680n 2585
23153n 211743
23591n 95687
25099n 10696
26074n 103363
26552n 14382
26997n 8242
27378n 133
27734n 1
27841n 20
28105n 352860
28404n 38503
29085n 258002
29714n 180090
30334n 111815
31026n 71812
31236n 189
31433n 188324
32028n 197328
32604n 19045
32870n 392
32965n 237
33168n 1
33330n 1
33580n 21111
34088n 7
34282n 1
34452n 4
34733n 1
34896n 16334
35417n 5
35501n 1
35611n 364
35807n 70898
36532n 1
36619n 636
36930n 1
37220n 1
37378n 245
37568n 1
37654n 69
37902n 8
38097n 1
38273n 15
38347n 25
38509n 173
38777n 2
38902n 1
39161n 169
39319n 74
39545n 78
39825n 136
39971n 1
40097n 10
40256n 3228
40668n 1094
40898n 158
41114n 1153
41469n 1
41548n 1003
41944n 253
42237n 788
42485n 1641
42790n 62
43008n 30
43235n 1
43449n 1
43585n 2882
43981n 187
44242n 582
44512n 1732
44668n 140
44846n 989
45342n 2
45430n 218
45680n 1
45874n 1
46069n 331
46265n 2
46375n 417
46549n 245
46698n 940
46980n 1
47152n 186
47327n 127
47668n 3
47854n 8
47960n 1
48113n 2
48233n 5
48361n 29
48519n 391
48808n 2
49017n 8
49211n 355
49401n 19
49516n 338
49709n 2
49849n 4
50036n 1
50221n 1
50376n 3
50470n 1
50658n 31
50824n 38
51115n 3
51344n 1
51421n 151
51729n 1
51849n 1
51933n 10
52130n 2
52236n 358
52585n 1
52740n 100
52909n 9
53126n 1
53315n 1
53403n 10
53721n 1
53881n 1
54020n 1
54175n 7
54399n 6
54639n 1
54776n 12
55000n 26
55250n 1
55394n 10
55574n 153
55763n 7
55854n 1
56110n 2
56355n 1
56445n 2
56627n 13
56716n 1
56851n 1729
57235n 1509
57484n 22
57660n 1469
57836n 1
58003n 16
58097n 57
58309n 1
58522n 14
58656n 1
58855n 1
58925n 1
59122n 2
59279n 3
59398n 69
59561n 1
59706n 196
59900n 1
60025n 11
60241n 180
60439n 1
60559n 4
60779n 1
60914n 2786
61122n 334
61418n 10
61667n 2
61760n 2085
62126n 35
62259n 16
62459n 2
62574n 421
62859n 312
63149n 1
63267n 3
63387n 68
63469n 1
63626n 72
63906n 365
64126n 1
64267n 3227
64448n 175
64687n 2572
64952n 33
65204n 1
65305n 361
65448n 64
65559n 1151
65701n 243
65976n 19
66156n 35
66319n 9
66603n 1
66741n 34
66887n 36
67046n 1
67159n 18
67430n 1
67590n 1
67671n 1
67801n 1
67904n 3
68063n 1
68201n 1
68349n 7
68448n 1
68627n 8
68775n 1
68933n 610
69514n 1
69668n 1
69832n 1
70036n 33
70229n 78
70441n 29
70659n 3
70776n 13
71000n 7
71145n 2
71493n 1
71681n 3
71796n 21
72060n 1
72292n 2
72492n 27
72592n 182
72758n 154
73251n 4
73402n 4
73549n 1
73721n 54
73843n 2
74003n 2
74127n 20
74254n 1
74324n 1
74494n 59
74815n 284
75100n 1
75180n 2
75350n 2526
75787n 1
75912n 24
76130n 2
76306n 1
76413n 1
76698n 1
76895n 1203
77089n 80
77275n 1686
77480n 5
77629n 282
77785n 7
77973n 5
78119n 16
78351n 1
78496n 1
78620n 349
78845n 335
79051n 1
79272n 1
79449n 744
79713n 288
79958n 225
80100n 1
80224n 1
80402n 44
80631n 23
80747n 46
81137n 416
81325n 370
81462n 29
81606n 9
81852n 213
82015n 78
82286n 1
82539n 1
82685n 1
82863n 44
83076n 2
83322n 3
83473n 6
83784n 1
83941n 6
84191n 1
84298n 6
84453n 26
84773n 5
84918n 3
85123n 125
85363n 53
85549n 6
85854n 3
86067n 1
86181n 120
86425n 83
86727n 4
86934n 1
87051n 349
87357n 1
87591n 1
87776n 9
87953n 41
88093n 40
88310n 1
88479n 85
88713n 18
88934n 12
89104n 7
89203n 4
89370n 2
89479n 1
89593n 1
89677n 1
89912n 1
90066n 154
90363n 1
90547n 1
90713n 14
90834n 1
91061n 1
91190n 471
91581n 1
91708n 87
91951n 5
92211n 4
92499n 30
92665n 1
92832n 6
93040n 5
93213n 274
93584n 1
93682n 1
93922n 8
94054n 8
94224n 3
94431n 1
94562n 6
94680n 4
94833n 3
94955n 1
95059n 8
95215n 282
95616n 1
95744n 25
95984n 781
96181n 1
96298n 1
96420n 1
96626n 1
96798n 2
96947n 3
97158n 8
97310n 29
97612n 98
97796n 1
97902n 43
98248n 2
98362n 10
98550n 59
98769n 4
98929n 1
99067n 2
99168n 7
99398n 1
99521n 1
99733n 2
99816n 6
100138n 1
100286n 1
100499n 144
100650n 19
100778n 57
100949n 55
101096n 1
101193n 158
101447n 1
101608n 10
101768n 33
101891n 645
102326n 13
102514n 3
102621n 2
102829n 44
102974n 4
103170n 68
103454n 25
103622n 425
104076n 30
104238n 7
104366n 1
104487n 1
104629n 7
104750n 28
104901n 2
105034n 1
105225n 8
105429n 1
105529n 47
105775n 1
105893n 1
106013n 1
106166n 3
106313n 1
106429n 2
106575n 1
106762n 145
107119n 1
107240n 1
107405n 23
107763n 1
107870n 4
108061n 3
108150n 1
108280n 2
108538n 1
108674n 8
108819n 1
108976n 1
109155n 1
109278n 1
109388n 1
109501n 1
109628n 935
109990n 19
110144n 2
110313n 5
110429n 626
110866n 15
111060n 10
111288n 3
111429n 3
111632n 1
111765n 159
112205n 7
112370n 54
112626n 4
112834n 5
113001n 42
113137n 6
113342n 2
113456n 1
113710n 285
114021n 69
114323n 1
114458n 1
114601n 1
114912n 2
115145n 1
115294n 9
115603n 7
115780n 2
115887n 2
116068n 9
116414n 2
116545n 1
116632n 2
116737n 1
116903n 4
117047n 283
117372n 1
117489n 5
117681n 175
117994n 27
118126n 1
118283n 1
118422n 9
118645n 97
118845n 68
119124n 10
119383n 7
119585n 1
119817n 36
120009n 29
120140n 116
120433n 11
120622n 1
120713n 34
120909n 22
121131n 1
121262n 4
121487n 1
121630n 1
121735n 1
121821n 1
122015n 1
122096n 2
122245n 1
122359n 46
122605n 8
122794n 1
122915n 27
123108n 621
123579n 1
123715n 243
123926n 1
124063n 2
124200n 3
124365n 13
124500n 2
124630n 8
124765n 76
125010n 225
125133n 70
125309n 1
125534n 1
125767n 1
125920n 2
126081n 64
126310n 12
126419n 1
126532n 16
126760n 4
126878n 9
126970n 1175
127186n 208
127536n 224
127790n 3
127955n 1
128116n 1
128289n 14
128431n 1
128534n 541
128791n 1
128929n 1
129052n 5
129235n 1
129321n 1
129435n 1
129549n 1
129663n 1
129799n 21
129941n 1
130045n 228
130200n 119
130426n 43
130604n 1
130678n 7
130782n 32
131011n 1
131112n 11
131319n 1
131425n 1
131543n 4
131690n 1
131835n 2
131916n 1
132018n 11
132224n 185
132567n 26
132730n 20
132923n 150
133056n 1
133218n 9
133371n 3
133467n 1
133571n 1
133649n 1
133748n 31
134110n 1
134295n 1
134403n 11
134698n 4
134953n 2
135128n 1
135296n 1
135497n 2
135640n 9
135860n 1
136018n 6
136153n 1
136218n 1
136375n 120
136963n 1
137177n 1
137338n 8
137531n 59
137683n 1
137812n 3
138071n 66
138319n 3
138446n 1
138595n 41
138815n 1
139088n 1
139225n 67
139559n 2
139780n 145
140066n 149
140316n 1
140510n 125
140795n 1
140885n 1
141022n 1
141144n 2
141441n 1
141704n 1
141891n 19
142037n 1
142283n 8
142477n 714
143038n 247
143188n 1
143370n 3
143536n 1
143702n 1
143831n 333
144115n 332
144350n 2
144446n 7
144573n 1
144713n 2
144854n 28
145121n 5
145316n 13
145501n 2
145705n 1
145912n 3
146021n 1
146095n 5
146237n 5
146343n 5
146521n 2
146767n 5
146958n 2
147154n 1
147356n 1
147487n 1
147638n 1
147850n 7
148021n 4
148191n 17
148418n 1
148513n 9
148601n 747
148937n 1
149041n 131
149253n 1
149361n 1
149542n 1
149750n 121
150013n 1
150128n 113
150308n 8
150519n 1
150685n 111
150829n 81
150981n 350
151253n 2
151453n 323
151709n 1
151914n 2
152105n 1
152318n 2
152507n 74
152817n 1
152990n 1
153139n 2
153313n 1
153410n 22
153645n 1
153832n 8
154092n 889
154329n 1
154474n 58
154698n 1
154888n 1
154968n 159
155196n 530
155454n 1
155816n 32
155997n 27
156216n 20
156440n 32
156719n 2
156893n 1
157117n 1
157235n 1
157352n 55
157508n 52
157742n 1
157864n 18
158063n 4201
158423n 21
158559n 1
158708n 4
158875n 2
159056n 1
159237n 1
159452n 2978
159867n 137
160053n 38
160226n 19
160450n 1
160599n 124
160972n 17
161165n 27
161399n 19
161621n 344
161819n 1
161998n 1
162118n 10
162383n 35
162613n 1
162762n 2081
162992n 1531
163175n 1068
163372n 10
163522n 986
163685n 1
163883n 487
164098n 487
164266n 65
164400n 1
164584n 2
164770n 4
164941n 1
165057n 1617
165325n 11
165478n 476
165713n 1
165849n 1387
166066n 1
166195n 1
166355n 6
166549n 1
166716n 1
166884n 35
167080n 1
167187n 1
167254n 20
167388n 1450
167594n 1
167793n 122
168051n 1
168162n 9
168426n 2
168617n 11
168761n 10
168891n 1
169034n 13
169142n 2
169254n 1477
169716n 1
169827n 18
170031n 4
170305n 139
170547n 67
170671n 1
170804n 1
170956n 1440
171207n 2
171326n 1
171494n 5
171718n 4
171977n 1
172149n 33
172419n 2
172596n 6
172856n 1
172993n 21
173153n 1
173310n 1
173538n 1
173671n 31
173992n 21
174182n 2
174327n 5
174568n 2
174721n 1
175095n 7
175226n 2
175358n 3
175498n 7
175592n 1
175742n 1
175847n 3
176043n 10
176150n 87
176383n 14
176521n 1
176695n 75
176880n 65
177237n 10
177429n 161
177658n 1
177840n 1
177962n 1
178107n 7
178248n 241
178680n 457
178902n 3
179038n 74
179190n 3
179364n 1
179551n 1
179707n 1
179824n 3
179972n 406
180421n 1
180561n 1
180788n 2
180927n 1
181078n 1
181228n 2
181396n 1
181519n 18
181722n 7
181853n 2
182027n 1
182193n 2
182612n 1
182910n 1
182995n 921
183417n 1
183505n 1
183698n 105
183860n 1
184071n 145
184251n 12
184368n 57
184544n 3
184702n 1
184810n 1
184981n 130
185127n 2
185295n 1
185467n 30
185618n 2
185837n 1
185926n 261
186257n 1
186401n 1
186541n 1
186699n 1
186792n 67
186940n 1
187144n 50
187292n 1
187503n 40815
188305n 3
188474n 1
188625n 169
188782n 1
188938n 612
189235n 9
189422n 1
189548n 8
189775n 6
189991n 1
190180n 1
190374n 1
190496n 2
190626n 1
190783n 1
191014n 1
191200n 1
191338n 17
191563n 17
191784n 48
191938n 18
192307n 2
192453n 127
192771n 1
192854n 541
193217n 1
193505n 1
193598n 1
193788n 1
193979n 1
194159n 51
194505n 1
194657n 1
194838n 967
195018n 1
195180n 3
195306n 903
195517n 8550
196094n 111
196428n 5
196631n 1
196766n 1
196950n 4
197155n 83
197445n 40
197656n 1
197784n 1
197903n 5
198058n 64
198310n 11
198671n 242
199007n 1
199203n 86
199407n 8
199595n 2
199729n 345
200036n 1
200140n 31
200409n 3
200586n 18
200721n 2
200826n 62
201046n 56
201201n 1
201329n 3
201465n 21
201753n 1
201947n 13
202053n 6
202295n 41
202534n 5
202706n 202
203004n 1
203183n 1
203331n 32
203728n 3
203856n 1
204044n 1
204183n 158
204563n 1
204699n 6
204943n 1
205116n 1
205219n 11
205365n 5
205554n 63
205723n 1
205868n 1
205968n 115
206102n 1
206211n 1
206365n 3798
206940n 390
207219n 355
207362n 121
207532n 753
207884n 1
208015n 1
208198n 1
208487n 5
208627n 87
208799n 1
208973n 1
209100n 1
209230n 312
209474n 154
209608n 1
209765n 25
209904n 12
210116n 154
210325n 41
210570n 11
210737n 1
210948n 1
211216n 1
211435n 2
211736n 18
211956n 1
212105n 8
212260n 2
212460n 6
212596n 154
213029n 1
213136n 15
213229n 251
213714n 110
213808n 43
213988n 12
214260n 9
214423n 4
214642n 1
214817n 1
214968n 1
215117n 1
215227n 1301
215678n 1
215790n 116
215953n 1
216071n 1
216238n 447
216434n 1
216631n 2
216744n 429
217278n 29
217400n 3
217565n 1
217680n 1
217796n 3
217927n 1
218019n 1
218100n 1
218181n 1
218264n 1
218355n 1
218448n 6
218576n 599
218685n 9
218966n 1
219139n 2
219344n 1
219468n 1
219562n 1
219775n 1
219920n 28
220054n 7
220183n 41
220460n 5
220799n 1
220938n 2
221136n 1
221270n 1
221350n 12
221561n 1
221684n 1
221793n 5
221986n 4
222307n 8
222519n 37
222711n 1
222911n 1
223151n 2
223337n 1
223464n 1
223684n 1
223795n 15
224048n 1
224169n 1
224278n 1
224381n 4
224483n 3
224735n 186
224962n 1
225111n 47
225234n 1
225460n 171
225787n 3
225888n 1
226014n 20
226134n 5
226372n 10
226524n 231
226675n 12
226903n 1
227024n 1
227197n 1
227361n 4
227515n 1
227612n 1
227767n 156
228087n 114
228347n 2
228586n 134
228804n 1
228965n 1
229063n 7
229412n 1
229586n 3
229814n 1
229995n 2
230180n 1
230305n 1
230477n 1
230623n 3
230875n 3
231092n 17
231274n 2
231408n 1
231635n 1648
232394n 1
232781n 1
233021n 1
233153n 66
233278n 468
233889n 1
234053n 29
234206n 121
234510n 1
234711n 3
234962n 1
235055n 1
235208n 1
235414n 207
235649n 1
235832n 1
235932n 1
236076n 5
236350n 360
236968n 2
237152n 34
237459n 2
237721n 1
237913n 259
238217n 6
238360n 2
238642n 4
238794n 1
239019n 39
239313n 1
239448n 3
239584n 3
239788n 1
239873n 3
240024n 1
240129n 66
