Reference,chapters,Chapter
List,rest,List
Reference,editor,PersonList
Reference,publisher,Publisher
Part,book,Monograph
Proceedings,communications,InProceedings
Proceedings,event,Conference
Reference,date,Date
Conference,organizer,Organization
Part,pages,PageRange
Reference,location,Address
Reference,humanCreator,PersonList
Reference,author,PersonList
Reference,organization,Organization
Reference,school,School
Thing,address,Address
Part,collection,Collection
Report,institution,Institution
Journal,articles,Article
MotionPicture,directors,PersonList
Reference,parts,Part
Reference,contract,Thing
Part,journal,Journal
InProceedings,proceedings,Proceedings
Informal,affiliation,string
TechReport,affiliation,string
InProceedings,affiliation,string
Academic,affiliation,string
Part,affiliation,string
Booklet,affiliation,string
Deliverable,affiliation,string
PhdThesis,affiliation,string
InBook,affiliation,string
MotionPicture,affiliation,string
MastersThesis,affiliation,string
Chapter,affiliation,string
Monograph,affiliation,string
LectureNotes,affiliation,string
Report,affiliation,string
Book,affiliation,string
Manual,affiliation,string
Unpublished,affiliation,string
InCollection,affiliation,string
Proceedings,affiliation,string
Article,affiliation,string
Collection,affiliation,string
Misc,affiliation,string
Informal,price,string
TechReport,price,string
InProceedings,price,string
Academic,price,string
Part,price,string
Booklet,price,string
Deliverable,price,string
PhdThesis,price,string
InBook,price,string
MotionPicture,price,string
MastersThesis,price,string
Chapter,price,string
Monograph,price,string
LectureNotes,price,string
Report,price,string
Book,price,string
Manual,price,string
Unpublished,price,string
InCollection,price,string
Proceedings,price,string
Article,price,string
Collection,price,string
Misc,price,string
Informal,volume,nonNegativeInteger
TechReport,volume,nonNegativeInteger
InProceedings,volume,nonNegativeInteger
Academic,volume,nonNegativeInteger
Part,volume,nonNegativeInteger
Booklet,volume,nonNegativeInteger
Deliverable,volume,nonNegativeInteger
PhdThesis,volume,nonNegativeInteger
InBook,volume,nonNegativeInteger
MotionPicture,volume,nonNegativeInteger
MastersThesis,volume,nonNegativeInteger
Chapter,volume,nonNegativeInteger
Monograph,volume,nonNegativeInteger
LectureNotes,volume,nonNegativeInteger
Report,volume,nonNegativeInteger
Book,volume,nonNegativeInteger
Manual,volume,nonNegativeInteger
Unpublished,volume,nonNegativeInteger
InCollection,volume,nonNegativeInteger
Proceedings,volume,nonNegativeInteger
Article,volume,nonNegativeInteger
Collection,volume,nonNegativeInteger
Misc,volume,nonNegativeInteger
Informal,edition,string
TechReport,edition,string
InProceedings,edition,string
Academic,edition,string
Part,edition,string
Booklet,edition,string
Deliverable,edition,string
PhdThesis,edition,string
InBook,edition,string
MotionPicture,edition,string
MastersThesis,edition,string
Chapter,edition,string
Monograph,edition,string
LectureNotes,edition,string
Report,edition,string
Book,edition,string
Manual,edition,string
Unpublished,edition,string
InCollection,edition,string
Proceedings,edition,string
Article,edition,string
Collection,edition,string
Misc,edition,string
Informal,number,string
TechReport,number,string
InProceedings,number,string
Academic,number,string
Part,number,string
Booklet,number,string
Deliverable,number,string
PhdThesis,number,string
InBook,number,string
MotionPicture,number,string
MastersThesis,number,string
Chapter,number,string
Monograph,number,string
LectureNotes,number,string
Report,number,string
Book,number,string
Manual,number,string
Unpublished,number,string
InCollection,number,string
Proceedings,number,string
Article,number,string
Collection,number,string
Misc,number,string
Informal,copyright,string
TechReport,copyright,string
InProceedings,copyright,string
Academic,copyright,string
Part,copyright,string
Booklet,copyright,string
Deliverable,copyright,string
PhdThesis,copyright,string
InBook,copyright,string
MotionPicture,copyright,string
MastersThesis,copyright,string
Chapter,copyright,string
Monograph,copyright,string
LectureNotes,copyright,string
Report,copyright,string
Book,copyright,string
Manual,copyright,string
Unpublished,copyright,string
InCollection,copyright,string
Proceedings,copyright,string
Article,copyright,string
Collection,copyright,string
Misc,copyright,string
Informal,lccn,string
TechReport,lccn,string
InProceedings,lccn,string
Academic,lccn,string
Part,lccn,string
Booklet,lccn,string
Deliverable,lccn,string
PhdThesis,lccn,string
InBook,lccn,string
MotionPicture,lccn,string
MastersThesis,lccn,string
Chapter,lccn,string
Monograph,lccn,string
LectureNotes,lccn,string
Report,lccn,string
Book,lccn,string
Manual,lccn,string
Unpublished,lccn,string
InCollection,lccn,string
Proceedings,lccn,string
Article,lccn,string
Collection,lccn,string
Misc,lccn,string
Informal,type,string
TechReport,type,string
InProceedings,type,string
Academic,type,string
Part,type,string
Booklet,type,string
Deliverable,type,string
PhdThesis,type,string
InBook,type,string
MotionPicture,type,string
MastersThesis,type,string
Chapter,type,string
Monograph,type,string
LectureNotes,type,string
Report,type,string
Book,type,string
Manual,type,string
Unpublished,type,string
InCollection,type,string
Proceedings,type,string
Article,type,string
Collection,type,string
Misc,type,string
Informal,isbn,string
TechReport,isbn,string
InProceedings,isbn,string
Academic,isbn,string
Part,isbn,string
Booklet,isbn,string
Deliverable,isbn,string
PhdThesis,isbn,string
InBook,isbn,string
MotionPicture,isbn,string
MastersThesis,isbn,string
Chapter,isbn,string
Monograph,isbn,string
LectureNotes,isbn,string
Report,isbn,string
Book,isbn,string
Manual,isbn,string
Unpublished,isbn,string
InCollection,isbn,string
Proceedings,isbn,string
Article,isbn,string
Collection,isbn,string
Misc,isbn,string
Informal,issue,string
TechReport,issue,string
InProceedings,issue,string
Academic,issue,string
Part,issue,string
Booklet,issue,string
Deliverable,issue,string
PhdThesis,issue,string
InBook,issue,string
MotionPicture,issue,string
MastersThesis,issue,string
Chapter,issue,string
Monograph,issue,string
LectureNotes,issue,string
Report,issue,string
Book,issue,string
Manual,issue,string
Unpublished,issue,string
InCollection,issue,string
Proceedings,issue,string
Article,issue,string
Collection,issue,string
Misc,issue,string
Informal,contents,string
TechReport,contents,string
InProceedings,contents,string
Academic,contents,string
Part,contents,string
Booklet,contents,string
Deliverable,contents,string
PhdThesis,contents,string
InBook,contents,string
MotionPicture,contents,string
MastersThesis,contents,string
Chapter,contents,string
Monograph,contents,string
LectureNotes,contents,string
Report,contents,string
Book,contents,string
Manual,contents,string
Unpublished,contents,string
InCollection,contents,string
Proceedings,contents,string
Article,contents,string
Collection,contents,string
Misc,contents,string
Informal,annote,string
TechReport,annote,string
InProceedings,annote,string
Academic,annote,string
Part,annote,string
Booklet,annote,string
Deliverable,annote,string
PhdThesis,annote,string
InBook,annote,string
MotionPicture,annote,string
MastersThesis,annote,string
Chapter,annote,string
Monograph,annote,string
LectureNotes,annote,string
Report,annote,string
Book,annote,string
Manual,annote,string
Unpublished,annote,string
InCollection,annote,string
Proceedings,annote,string
Article,annote,string
Collection,annote,string
Misc,annote,string
Informal,key,string
TechReport,key,string
InProceedings,key,string
Academic,key,string
Part,key,string
Booklet,key,string
Deliverable,key,string
PhdThesis,key,string
InBook,key,string
MotionPicture,key,string
MastersThesis,key,string
Chapter,key,string
Monograph,key,string
LectureNotes,key,string
Report,key,string
Book,key,string
Manual,key,string
Unpublished,key,string
InCollection,key,string
Proceedings,key,string
Article,key,string
Collection,key,string
Misc,key,string
Informal,keywords,string
TechReport,keywords,string
InProceedings,keywords,string
Academic,keywords,string
Part,keywords,string
Booklet,keywords,string
Deliverable,keywords,string
PhdThesis,keywords,string
InBook,keywords,string
MotionPicture,keywords,string
MastersThesis,keywords,string
Chapter,keywords,string
Monograph,keywords,string
LectureNotes,keywords,string
Report,keywords,string
Book,keywords,string
Manual,keywords,string
Unpublished,keywords,string
