InBook,book,Monograph
List,rest,List
InProceedings,proceedings,Proceedings
Proceedings,communications,InProceedings
Reference,parts,Part
Part,collection,Collection
null,location,Address
Part,journal,Journal
Part,pages,PageRange
Proceedings,event,Conference
Reference,chapters,Chapter
MotionPicture,directors,PersonList
Journal,articles,Article
Reference,humanCreator,PersonList
null,publisher,Publisher
Reference,author,PersonList
Conference,organizer,Organization
Reference,contract,Thing
Reference,editor,PersonList
null,date,Date
null,school,School
Thing,address,Address
null,organization,Organization
Report,institution,Institution
