dqzdxdcsqj,institution,Institution
sqdsq,dzajj,dsqdbz
sqdsq,sqndsqgy,Date
zqedzbx,sqndsqgy,Date
List,rest,List
Part,collection,sqxsqkd
sqdsq,location,Address
zqedzbx,location,Address
Article,sxqsnbvsq,qsdsquj
sqdsq,humanCreator,dsqdbz
Proceedings,PrSGUs,InProceedings
zdazsx,school,zadazxn
LectureNotes,school,zadazxn
sqdsq,zandsbh,Thing
Thing,qzd,Address
Part,pages,PageRange
sqdsq,chapters,Chapter
sqdsq,parts,Part
sqdsq,publisher,Publisher
qsdsquj,publisher,Publisher
vccfsq,book,Monograph
sqdsq,zand,dsqdbz
Proceedings,organization,Organization
Manual,organization,Organization
Proceedings,event,zqedzbx
InProceedings,proceedings,Proceedings
zqedzbx,organizer,Organization
sqdsq,directors,dsqdbz
qsdsquj,YuEma,Article
