PageRange,mkalnshsq,nonNegativeInteger
Book,szdnzak,string
PhdThesis,szdnzak,string
qsdsnbsqd,szdnzak,string
Misc,szdnzak,string
vccfsq,szdnzak,string
Unpublished,szdnzak,string
LectureNotes,szdnzak,string
dcsqdsq,szdnzak,string
Deliverable,szdnzak,string
xsqlknk,szdnzak,string
Booklet,szdnzak,string
sqxsqkd,szdnzak,string
zdazsx,szdnzak,string
dzqndbzq,szdnzak,string
sdcsqhyz,szdnzak,string
Part,szdnzak,string
zdqssqdb,szdnzak,string
InProceedings,szdnzak,string
dscdscg,szdnzak,string
dqzdxdcsqj,szdnzak,string
dcsqdcsqd,szdnzak,string
Article,szdnzak,string
dzajndsq,szdnzak,string
sqdsq,szdnzak,string
vccfsq,dsazdjz,string
InProceedings,dsazdjz,string
dcsqdcsqd,dsazdjz,string
Article,dsazdjz,string
dzqndbzq,dsazdjz,string
Part,dsazdjz,string
Book,dsq,string
PhdThesis,dsq,string
qsdsnbsqd,dsq,string
Misc,dsq,string
vccfsq,dsq,string
Unpublished,dsq,string
LectureNotes,dsq,string
dcsqdsq,dsq,string
Deliverable,dsq,string
xsqlknk,dsq,string
Booklet,dsq,string
sqxsqkd,dsq,string
zdazsx,dsq,string
dzqndbzq,dsq,string
sdcsqhyz,dsq,string
Part,dsq,string
zdqssqdb,dsq,string
InProceedings,dsq,string
dscdscg,dsq,string
dqzdxdcsqj,dsq,string
dcsqdcsqd,dsq,string
Article,dsq,string
dzajndsq,dsq,string
sqdsq,dsq,string
Book,zqdszh,string
PhdThesis,zqdszh,string
qsdsnbsqd,zqdszh,string
Misc,zqdszh,string
vccfsq,zqdszh,string
Unpublished,zqdszh,string
LectureNotes,zqdszh,string
dcsqdsq,zqdszh,string
Deliverable,zqdszh,string
xsqlknk,zqdszh,string
Booklet,zqdszh,string
sqxsqkd,zqdszh,string
zdazsx,zqdszh,string
dzqndbzq,zqdszh,string
sdcsqhyz,zqdszh,string
Part,zqdszh,string
zdqssqdb,zqdszh,string
InProceedings,zqdszh,string
dscdscg,zqdszh,string
dqzdxdcsqj,zqdszh,string
dcsqdcsqd,zqdszh,string
Article,zqdszh,string
dzajndsq,zqdszh,string
sqdsq,zqdszh,string
Address,zdnzadh,string
Book,dszbnz,string
PhdThesis,dszbnz,string
qsdsnbsqd,dszbnz,string
Misc,dszbnz,string
vccfsq,dszbnz,string
Unpublished,dszbnz,string
LectureNotes,dszbnz,string
dcsqdsq,dszbnz,string
Deliverable,dszbnz,string
xsqlknk,dszbnz,string
Booklet,dszbnz,string
sqxsqkd,dszbnz,string
zdazsx,dszbnz,string
dzqndbzq,dszbnz,string
sdcsqhyz,dszbnz,string
Part,dszbnz,string
zdqssqdb,dszbnz,string
InProceedings,dszbnz,string
dscdscg,dszbnz,string
dqzdxdcsqj,dszbnz,string
dcsqdcsqd,dszbnz,string
Article,dszbnz,string
dzajndsq,dszbnz,string
sqdsq,dszbnz,string
Book,zadzqbsdg,string
PhdThesis,zadzqbsdg,string
qsdsnbsqd,zadzqbsdg,string
Misc,zadzqbsdg,string
vccfsq,zadzqbsdg,string
Unpublished,zadzqbsdg,string
LectureNotes,zadzqbsdg,string
dcsqdsq,zadzqbsdg,string
Deliverable,zadzqbsdg,string
xsqlknk,zadzqbsdg,string
Booklet,zadzqbsdg,string
sqxsqkd,zadzqbsdg,string
zdazsx,zadzqbsdg,string
dzqndbzq,zadzqbsdg,string
sdcsqhyz,zadzqbsdg,string
Part,zadzqbsdg,string
zdqssqdb,zadzqbsdg,string
InProceedings,zadzqbsdg,string
dscdscg,zadzqbsdg,string
dqzdxdcsqj,zadzqbsdg,string
dcsqdcsqd,zadzqbsdg,string
Article,zadzqbsdg,string
dzajndsq,zadzqbsdg,string
sqdsq,zadzqbsdg,string
Book,zdzbh,string
PhdThesis,zdzbh,string
qsdsnbsqd,zdzbh,string
Misc,zdzbh,string
vccfsq,zdzbh,string
Unpublished,zdzbh,string
LectureNotes,zdzbh,string
dcsqdsq,zdzbh,string
Deliverable,zdzbh,string
xsqlknk,zdzbh,string
Booklet,zdzbh,string
sqxsqkd,zdzbh,string
zdazsx,zdzbh,string
dzqndbzq,zdzbh,string
sdcsqhyz,zdzbh,string
Part,zdzbh,string
zdqssqdb,zdzbh,string
InProceedings,zdzbh,string
dscdscg,zdzbh,string
dqzdxdcsqj,zdzbh,string
dcsqdcsqd,zdzbh,string
Article,zdzbh,string
dzajndsq,zdzbh,string
sqdsq,zdzbh,string
Date,month,gMonth
Book,contents,string
PhdThesis,contents,string
qsdsnbsqd,contents,string
Misc,contents,string
vccfsq,contents,string
Unpublished,contents,string
LectureNotes,contents,string
dcsqdsq,contents,string
Deliverable,contents,string
xsqlknk,contents,string
Booklet,contents,string
sqxsqkd,contents,string
zdazsx,contents,string
dzqndbzq,contents,string
sdcsqhyz,contents,string
Part,contents,string
zdqssqdb,contents,string
InProceedings,contents,string
dscdscg,contents,string
dqzdxdcsqj,contents,string
dcsqdcsqd,contents,string
Article,contents,string
dzajndsq,contents,string
sqdsq,contents,string
dzqndbzq,type,string
sdcsqhyz,type,string
PhdThesis,type,string
xsqlknk,type,string
zdazsx,type,string
Book,language,language
PhdThesis,language,language
qsdsnbsqd,language,language
Misc,language,language
vccfsq,language,language
Unpublished,language,language
LectureNotes,language,language
dcsqdsq,language,language
Deliverable,language,language
xsqlknk,language,language
Booklet,language,language
sqxsqkd,language,language
zdazsx,language,language
dzqndbzq,language,language
sdcsqhyz,language,language
Part,language,language
zdqssqdb,language,language
InProceedings,language,language
dscdscg,language,language
dqzdxdcsqj,language,language
dcsqdcsqd,language,language
Article,language,language
dzajndsq,language,language
sqdsq,language,language
Book,sqnzkzn,string
PhdThesis,sqnzkzn,string
qsdsnbsqd,sqnzkzn,string
Misc,sqnzkzn,string
vccfsq,sqnzkzn,string
Unpublished,sqnzkzn,string
LectureNotes,sqnzkzn,string
dcsqdsq,sqnzkzn,string
Deliverable,sqnzkzn,string
xsqlknk,sqnzkzn,string
Booklet,sqnzkzn,string
sqxsqkd,sqnzkzn,string
zdazsx,sqnzkzn,string
dzqndbzq,sqnzkzn,string
