Proceedings,communications,InProceedings
List,rest,List
Proceedings,event,ScientificMeeting
Reference,location,Address
Conference,location,Address
JournalPart,journal,Journal
Periodical,contributions,JournalPart
Reference,parts,Part
InCollection,collection,Collection
Periodical,articles,Article
Resource,editor,PersonList
Reference,publisher,Publisher
Periodical,publisher,Publisher
Part,book,Monograph
Reference,contract,Thing
Reference,date,Date
Conference,date,Date
Resource,directors,PersonList
Resource,humanCreator,PersonList
Academic,school,HigherEducationInstitution
LectureNotes,school,HigherEducationInstitution
Thing,address,Address
Proceedings,organization,Organization
Manual,organization,Organization
Part,pages,PageRange
InProceedings,proceedings,Proceedings
Resource,author,PersonList
ScientificMeeting,organizer,Organization
Text,chapters,Chapter
Report,institution,Institution
LectureNotes,abstract,string
TechnicalMemo,abstract,string
PhdThesis,abstract,string
Text,abstract,string
UserGuide,abstract,string
Standard,abstract,string
Recommendation,abstract,string
Manual,abstract,string
Unpublished,abstract,string
Misc,abstract,string
FinalReport,abstract,string
WorkReport,abstract,string
ProspectiveReport,abstract,string
SerialReport,abstract,string
InProceedings,abstract,string
Letter,abstract,string
Book,abstract,string
Collection,abstract,string
PeriodicReport,abstract,string
Booklet,abstract,string
Editorial,abstract,string
Article,abstract,string
InCollection,abstract,string
NormalizationReport,abstract,string
Chapter,abstract,string
Proceedings,abstract,string
Deliverable,abstract,string
InstitutionReport,abstract,string
ReferenceManual,abstract,string
MotionPicture,abstract,string
EvaluationReport,abstract,string
TechReport,abstract,string
Academic,abstract,string
Monograph,abstract,string
MastersThesis,abstract,string
Report,abstract,string
ResearchNote,abstract,string
ResearchReport,abstract,string
Informal,abstract,string
Review,abstract,string
Part,abstract,string
JournalPart,abstract,string
InBook,abstract,string
YearlyReport,abstract,string
LectureNotes,keywords,string
TechnicalMemo,keywords,string
PhdThesis,keywords,string
Text,keywords,string
UserGuide,keywords,string
Standard,keywords,string
Recommendation,keywords,string
Manual,keywords,string
Unpublished,keywords,string
Misc,keywords,string
FinalReport,keywords,string
WorkReport,keywords,string
ProspectiveReport,keywords,string
SerialReport,keywords,string
InProceedings,keywords,string
Letter,keywords,string
Book,keywords,string
Collection,keywords,string
PeriodicReport,keywords,string
Booklet,keywords,string
Editorial,keywords,string
Article,keywords,string
InCollection,keywords,string
NormalizationReport,keywords,string
Chapter,keywords,string
Proceedings,keywords,string
Deliverable,keywords,string
InstitutionReport,keywords,string
ReferenceManual,keywords,string
MotionPicture,keywords,string
EvaluationReport,keywords,string
TechReport,keywords,string
Academic,keywords,string
Monograph,keywords,string
MastersThesis,keywords,string
Report,keywords,string
ResearchNote,keywords,string
ResearchReport,keywords,string
Informal,keywords,string
Review,keywords,string
Part,keywords,string
JournalPart,keywords,string
InBook,keywords,string
YearlyReport,keywords,string
LectureNotes,copyright,string
TechnicalMemo,copyright,string
PhdThesis,copyright,string
Text,copyright,string
UserGuide,copyright,string
Standard,copyright,string
Recommendation,copyright,string
Manual,copyright,string
Unpublished,copyright,string
Misc,copyright,string
FinalReport,copyright,string
WorkReport,copyright,string
ProspectiveReport,copyright,string
SerialReport,copyright,string
InProceedings,copyright,string
Letter,copyright,string
Book,copyright,string
Collection,copyright,string
PeriodicReport,copyright,string
Booklet,copyright,string
Editorial,copyright,string
Article,copyright,string
InCollection,copyright,string
NormalizationReport,copyright,string
Chapter,copyright,string
Proceedings,copyright,string
Deliverable,copyright,string
InstitutionReport,copyright,string
ReferenceManual,copyright,string
MotionPicture,copyright,string
EvaluationReport,copyright,string
TechReport,copyright,string
Academic,copyright,string
Monograph,copyright,string
MastersThesis,copyright,string
Report,copyright,string
ResearchNote,copyright,string
ResearchReport,copyright,string
Informal,copyright,string
Review,copyright,string
Part,copyright,string
JournalPart,copyright,string
InBook,copyright,string
YearlyReport,copyright,string
LectureNotes,url,string
TechnicalMemo,url,string
PhdThesis,url,string
Text,url,string
UserGuide,url,string
Standard,url,string
Recommendation,url,string
Manual,url,string
Unpublished,url,string
Misc,url,string
FinalReport,url,string
WorkReport,url,string
ProspectiveReport,url,string
SerialReport,url,string
InProceedings,url,string
Letter,url,string
Book,url,string
Collection,url,string
PeriodicReport,url,string
Booklet,url,string
Editorial,url,string
Article,url,string
InCollection,url,string
NormalizationReport,url,string
Chapter,url,string
Proceedings,url,string
Deliverable,url,string
InstitutionReport,url,string
ReferenceManual,url,string
MotionPicture,url,string
EvaluationReport,url,string
TechReport,url,string
Academic,url,string
Monograph,url,string
MastersThesis,url,string
Report,url,string
ResearchNote,url,string
ResearchReport,url,string
Informal,url,string
Review,url,string
Part,url,string
JournalPart,url,string
InBook,url,string
YearlyReport,url,string
LectureNotes,size,string
TechnicalMemo,size,string
PhdThesis,size,string
Text,size,string
UserGuide,size,string
Standard,size,string
Recommendation,size,string
Manual,size,string
Unpublished,size,string
Misc,size,string
FinalReport,size,string
WorkReport,size,string
ProspectiveReport,size,string
SerialReport,size,string
InProceedings,size,string
Letter,size,string
Book,size,string
Collection,size,string
PeriodicReport,size,string
Booklet,size,string
Editorial,size,string
Article,size,string
InCollection,size,string
NormalizationReport,size,string
Chapter,size,string
Proceedings,size,string
Deliverable,size,string
InstitutionReport,size,string
ReferenceManual,size,string
MotionPicture,size,string
EvaluationReport,size,string
TechReport,size,string
Academic,size,string
Monograph,size,string
MastersThesis,size,string
Report,size,string
