Text,chapters,Chapter
Reference,location,Address
Conference,location,Address
Reference,publisher,Publisher
Periodical,publisher,Publisher
Proceedings,event,ScientificMeeting
Reference,author,PersonList
Resource,author,PersonList
List,rest,List
Part,pages,PageRange
Part,journal,Journal
Journal,articles,Article
Part,proceedings,Proceedings
Proceedings,communications,InProceedings
MotionPicture,directors,PersonList
Reference,date,Date
Conference,date,Date
ScientificMeeting,organizer,Organization
Periodical,contributions,JournalPart
Report,institution,Institution
Academic,school,HigherEducationInstitution
LectureNotes,school,HigherEducationInstitution
Reference,parts,Part
InCollection,collection,Collection
Part,book,Monograph
Reference,editor,PersonList
Resource,editor,PersonList
Reference,humanCreator,PersonList
Resource,humanCreator,PersonList
Proceedings,organization,Organization
Manual,organization,Organization
Reference,contract,Thing
Thing,address,Address
