Part,book,Monograph
sqdsq,parts,Part
sqdsq,date,Date
zqedzbx,date,Date
List,rest,List
Text,chapters,Chapter
Thing,qzd,Address
sqdsq,zandsbh,Thing
Part,sxqsnbvsq,Journal
Resource,author,dsqdbz
sqdsq,location,Address
zqedzbx,location,Address
Resource,dzajj,dsqdbz
sqdsq,publisher,Publisher
Periodical,publisher,Publisher
Part,pages,PageRange
InProceedings,proceedings,Proceedings
MotionPicture,directors,dsqdbz
Journal,articles,Article
Proceedings,PrSGUs,InProceedings
Report,institution,Institution
Academic,school,HigherEducationInstitution
LectureNotes,school,HigherEducationInstitution
Resource,humanCreator,dsqdbz
Proceedings,organization,Organization
Manual,organization,Organization
ScientificMeeting,organizer,Organization
Proceedings,event,ScientificMeeting
Periodical,contributions,JournalPart
Part,collection,Collection
xsqlknk,copyright,string
YearlyReport,copyright,string
MotionPicture,copyright,string
qsdsnbsqd,copyright,string
WorkReport,copyright,string
TechnicalMemo,copyright,string
PhdThesis,copyright,string
EwQu,copyright,string
InBook,copyright,string
Collection,copyright,string
Chapter,copyright,string
ZVxsNo,copyright,string
Report,copyright,string
SerialReport,copyright,string
LectureNotes,copyright,string
Booklet,copyright,string
FinalReport,copyright,string
Misc,copyright,string
ResearchReport,copyright,string
Book,copyright,string
Deliverable,copyright,string
sdcsqhyz,copyright,string
dcsqdcsqd,copyright,string
Editorial,copyright,string
Text,copyright,string
Recommendation,copyright,string
LXtNU,copyright,string
UserGuide,copyright,string
Monograph,copyright,string
Unpublished,copyright,string
NormalizationReport,copyright,string
Part,copyright,string
InProceedings,copyright,string
EvaluationReport,copyright,string
Academic,copyright,string
Review,copyright,string
Proceedings,copyright,string
ZGKW1E,copyright,string
Letter,copyright,string
Article,copyright,string
Manual,copyright,string
ProspectiveReport,copyright,string
JournalPart,copyright,string
PeriodicReport,copyright,string
xsqlknk,reviewed,string
YearlyReport,reviewed,string
MotionPicture,reviewed,string
qsdsnbsqd,reviewed,string
WorkReport,reviewed,string
TechnicalMemo,reviewed,string
