Program_committee,was_a_program_committee_of,Conference_volume
Person,contributes,Conference_document
Conference_proceedings,has_a_publisher,Publisher
Conference_part,is_part_of_conference_volumes,Conference_volume
Committee,has_members,Committee_member
Reviewer,has_a_review_reference_or_expertise,Review_preference
Reviewer,has_a_review_reference_or_expertise,Review_expertise
Conference_volume,has_important_dates,Important_dates
Topic,belongs_to_a_review_reference,Review_preference
Committee,was_a_committee_of,Conference_volume
Conference_part,has_a_track-workshop-tutorial_chair,Track-workshop_chair
Committee,has_a_committee_chair,Committee_member
Conference_volume,has_a_steering_committee,Steering_committee
Steering_committee,was_a_steering_committee_of,Conference_volume
Reviewer,invited_by,Reviewer
Review_preference,belongs_to_reviewers,Reviewer
Review_expertise,belongs_to_reviewers,Reviewer
Conference_contribution,is_submitted_at,Conference_volume
Presentation,has_an_abstract,Abstract
Paper,has_an_abstract,Abstract
Poster,has_an_abstract,Abstract
Committee,was_an_organizing_committee_of,Conference_volume
Reviewed_contribution,has_a_review,Review
Committee,has_a_committee_co-chair,Committee_member
Conference_part,has_a_track-workshop-tutorial_topic,Topic
Submitted_contribution,has_been_assigned_a_review_reference,Review_preference
Topic,has_been_assigned_a_review_reference,Review_preference
Conference_document,has_authors,Person
Conference_volume,has_tracks,Conference_part
Conference_volume,has_tutorials,Conference_part
Committee_member,was_a_member_of,Committee
Conference_volume,has_parts,Conference_part
Committee_member,was_a_committee_chair_of,Committee
Conference_volume,has_an_organizing_committee,Committee
Committee_member,was_a_committe_co-chair_of,Committee
Review,reviews,Reviewed_contribution
Review_expertise,has_a_submitted_contribution,Submitted_contribution
Conference_volume,has_a_commtitee,Committee
Topic,is_a_topis_of_conference_parts,Conference_part
Submitted_contribution,has_a_review_expertise,Review_expertise
Abstract,is_the_1th_part_of,Paper
Abstract,is_the_1th_part_of,Poster
Abstract,is_the_1th_part_of,Presentation
Presentation,is_given_by,Active_conference_participant
Conference_volume,has_a_program_committee,Program_committee
Track-workshop_chair,was_a_track-workshop_chair_of,Conference_part
Active_conference_participant,gives_presentations,Presentation
Important_dates,belong_to_a_conference_volume,Conference_volume
Publisher,issues,Conference_proceedings
Review_preference,has_a_topic_or_a_submission_contribution,Submitted_contribution
Review_preference,has_a_topic_or_a_submission_contribution,Topic
Conference_volume,has_contributions,Conference_contribution
Reviewer,invites_co-reviewers,Reviewer
Conference_volume,has_workshops,Conference_part
Submitted_contribution,has_a_date_of_issue,date
Written_contribution,has_a_date_of_issue,date
Invited_talk,has_a_date_of_issue,date
Abstract,has_a_date_of_issue,date
Poster,has_a_date_of_issue,date
Extended_abstract,has_a_date_of_issue,date
Reviewed_contribution,has_a_date_of_issue,date
Camera_ready_contribution,has_a_date_of_issue,date
Conference_contribution,has_a_date_of_issue,date
Accepted_contribution,has_a_date_of_issue,date
Call_for_paper,has_a_date_of_issue,date
Conference_www,has_a_date_of_issue,date
Call_for_participation,has_a_date_of_issue,date
Review,has_a_date_of_issue,date
Regular_contribution,has_a_date_of_issue,date
Presentation,has_a_date_of_issue,date
Information_for_participants,has_a_date_of_issue,date
Conference_announcement,has_a_date_of_issue,date
Rejected_contribution,has_a_date_of_issue,date
Paper,has_a_date_of_issue,date
Committee_member,has_an_email,string
Reviewer,has_an_email,string
Contribution_co-author,has_an_email,string
Contribution_1th-author,has_an_email,string
Track-workshop_chair,has_an_email,string
Paid_applicant,has_an_email,string
Invited_speaker,has_an_email,string
Conference_contributor,has_an_email,string
Co-chair,has_an_email,string
Early_paid_applicant,has_an_email,string
Conference_applicant,has_an_email,string
Chair,has_an_email,string
Conference_participant,has_an_email,string
Active_conference_participant,has_an_email,string
Late_paid_applicant,has_an_email,string
Regular_author,has_an_email,string
Passive_conference_participant,has_an_email,string
Registeered_applicant,has_an_email,string
Committee_member,has_the_last_name,string
Reviewer,has_the_last_name,string
Contribution_co-author,has_the_last_name,string
Contribution_1th-author,has_the_last_name,string
Track-workshop_chair,has_the_last_name,string
Paid_applicant,has_the_last_name,string
Invited_speaker,has_the_last_name,string
Conference_contributor,has_the_last_name,string
Co-chair,has_the_last_name,string
Early_paid_applicant,has_the_last_name,string
Conference_applicant,has_the_last_name,string
Chair,has_the_last_name,string
Conference_participant,has_the_last_name,string
Active_conference_participant,has_the_last_name,string
Late_paid_applicant,has_the_last_name,string
Regular_author,has_the_last_name,string
Passive_conference_participant,has_the_last_name,string
Registeered_applicant,has_the_last_name,string
Committee_member,has_the_first_name,string
Reviewer,has_the_first_name,string
Contribution_co-author,has_the_first_name,string
Contribution_1th-author,has_the_first_name,string
Track-workshop_chair,has_the_first_name,string
Paid_applicant,has_the_first_name,string
Invited_speaker,has_the_first_name,string
Conference_contributor,has_the_first_name,string
Co-chair,has_the_first_name,string
Early_paid_applicant,has_the_first_name,string
Conference_applicant,has_the_first_name,string
Chair,has_the_first_name,string
Conference_participant,has_the_first_name,string
Active_conference_participant,has_the_first_name,string
Late_paid_applicant,has_the_first_name,string
Regular_author,has_the_first_name,string
Passive_conference_participant,has_the_first_name,string
Registeered_applicant,has_the_first_name,string
Conference_volume,has_a_name,string
Track,has_a_name,string
Workshop,has_a_name,string
Tutorial,has_a_name,string
