Person,employedBy,Organization
Scholar,studyAt,University
Contribution,dealsWith,Topic
Working_event,hasAdministrativeEvent,Administrative_event
Member_PC,expertOn,Topic
Organization,hasCity,City
Person,hasCity,City
Author,writes,Contribution
Administrative_event,parallel_with,Administrative_event
Working_event,hasTopic,Topic
Member_PC,reviewes,Contribution
Organization,hasCountry,Country
Person,hasCountry,Country
Administrative_event,follows,Administrative_event
Contribution,writtenBy,Author
Member,hasSurname,string
Author,hasSurname,string
Regular,hasSurname,string
Chair_PC,hasSurname,string
Member_PC,hasSurname,string
Assistant,hasSurname,string
Volunteer,hasSurname,string
Participant,hasSurname,string
Science_Worker,hasSurname,string
Scholar,hasSurname,string
Administrator,hasSurname,string
Student,hasSurname,string
Member,hasFax,string
Author,hasFax,string
Regular,hasFax,string
Chair_PC,hasFax,string
Member_PC,hasFax,string
Assistant,hasFax,string
Volunteer,hasFax,string
Participant,hasFax,string
Science_Worker,hasFax,string
Scholar,hasFax,string
Administrator,hasFax,string
Student,hasFax,string
Banquet,minChoice,positiveInteger
Trip,minChoice,positiveInteger
Reception,minChoice,positiveInteger
Conference,minChoice,positiveInteger
Workshop,minChoice,positiveInteger
Tutorial,minChoice,positiveInteger
Member,hasStreet,string
Author,hasStreet,string
Regular,hasStreet,string
Chair_PC,hasStreet,string
Member_PC,hasStreet,string
Assistant,hasStreet,string
Volunteer,hasStreet,string
Participant,hasStreet,string
Science_Worker,hasStreet,string
Scholar,hasStreet,string
Administrator,hasStreet,string
Student,hasStreet,string
University,hasStreet,string
Company,hasStreet,string
Short_paper,abstract,string
Paper,abstract,string
Poster,abstract,string
Member,hasPhone,string
Author,hasPhone,string
Regular,hasPhone,string
Chair_PC,hasPhone,string
Member_PC,hasPhone,string
Assistant,hasPhone,string
Volunteer,hasPhone,string
Participant,hasPhone,string
Science_Worker,hasPhone,string
Scholar,hasPhone,string
Administrator,hasPhone,string
Student,hasPhone,string
Short_paper,hasKeyword,string
Paper,hasKeyword,string
Poster,hasKeyword,string
Banquet,has_short_title,string
Trip,has_short_title,string
Reception,has_short_title,string
Conference,has_short_title,string
Workshop,has_short_title,string
Tutorial,has_short_title,string
Short_paper,contactEmail,string
Paper,contactEmail,string
Poster,contactEmail,string
Short_paper,hasTitle,string
Paper,hasTitle,string
Poster,hasTitle,string
Short_paper,remark,string
Paper,remark,string
Poster,remark,string
Member,earlyRegistration,boolean
Regular,earlyRegistration,boolean
Student,earlyRegistration,boolean
Banquet,hasVAT,string
Trip,hasVAT,string
Reception,hasVAT,string
Conference,hasVAT,string
Workshop,hasVAT,string
Tutorial,hasVAT,string
Member,hasEmail,string
Author,hasEmail,string
Regular,hasEmail,string
Chair_PC,hasEmail,string
Member_PC,hasEmail,string
Assistant,hasEmail,string
Volunteer,hasEmail,string
Participant,hasEmail,string
Science_Worker,hasEmail,string
Scholar,hasEmail,string
Administrator,hasEmail,string
Student,hasEmail,string
Member,hasFirstName,string
Author,hasFirstName,string
Regular,hasFirstName,string
Chair_PC,hasFirstName,string
Member_PC,hasFirstName,string
Assistant,hasFirstName,string
Volunteer,hasFirstName,string
Participant,hasFirstName,string
Science_Worker,hasFirstName,string
Scholar,hasFirstName,string
Administrator,hasFirstName,string
Student,hasFirstName,string
Banquet,defaultChoice,positiveInteger
Trip,defaultChoice,positiveInteger
Reception,defaultChoice,positiveInteger
Conference,defaultChoice,positiveInteger
Workshop,defaultChoice,positiveInteger
Tutorial,defaultChoice,positiveInteger
Banquet,ends_on,string
Reviewing_event,ends_on,string
Submission_event,ends_on,string
Social_event,ends_on,string
Camera_Ready_event,ends_on,string
Working_event,ends_on,string
Administrative_event,ends_on,string
Conference,ends_on,string
Workshop,ends_on,string
Registration_of_participants_event,ends_on,string
Tutorial,ends_on,string
Reviewing_results_event,ends_on,string
Trip,ends_on,string
Reception,ends_on,string
Banquet,location,string
Trip,location,string
Reception,location,string
Conference,location,string
Workshop,location,string
Tutorial,location,string
Banquet,starts_on,string
Reviewing_event,starts_on,string
Submission_event,starts_on,string
Social_event,starts_on,string
Camera_Ready_event,starts_on,string
Working_event,starts_on,string
Administrative_event,starts_on,string
Conference,starts_on,string
Workshop,starts_on,string
Registration_of_participants_event,starts_on,string
Tutorial,starts_on,string
Reviewing_results_event,starts_on,string
Trip,starts_on,string
Reception,starts_on,string
Member,hasHomePage,string
Author,hasHomePage,string
Regular,hasHomePage,string
Chair_PC,hasHomePage,string
Member_PC,hasHomePage,string
Assistant,hasHomePage,string
Volunteer,hasHomePage,string
Participant,hasHomePage,string
Science_Worker,hasHomePage,string
Scholar,hasHomePage,string
Administrator,hasHomePage,string
Student,hasHomePage,string
Member,hasPostalCode,string
Author,hasPostalCode,string
Regular,hasPostalCode,string
Chair_PC,hasPostalCode,string
Member_PC,hasPostalCode,string
Assistant,hasPostalCode,string
Volunteer,hasPostalCode,string
Participant,hasPostalCode,string
Science_Worker,hasPostalCode,string
Scholar,hasPostalCode,string
Administrator,hasPostalCode,string
Student,hasPostalCode,string
University,hasPostalCode,string
Company,hasPostalCode,string
Banquet,has_title,string
Trip,has_title,string
Reception,has_title,string
Conference,has_title,string
Workshop,has_title,string
Tutorial,has_title,string
Banquet,maxChoice,positiveInteger
Trip,maxChoice,positiveInteger
Reception,maxChoice,positiveInteger
Conference,maxChoice,positiveInteger
Workshop,maxChoice,positiveInteger
Tutorial,maxChoice,positiveInteger
