Person,pay,Registration_fee
Author,submit,Paper
Speaker,presentation,Document
ACM_SIGKDD,hold,Conference
Document,submit_until,Deadline
Deadline,designed_by,ACM_SIGKDD
Document,presentationed_by,Speaker
ACM_SIGKDD,design,Deadline
Person,can_stay_in,Place
Conference,holded_by,ACM_SIGKDD
ACM_SIGKDD,search,Sponzor
Sponzor,searched_by,ACM_SIGKDD
Author,obtain,Award
Author,notification_until,Deadline_Author_notification
Registration_fee,payed_by,Person
Registration_Non-Member,Currency,string
Registration_SIGMOD_Member,Currency,string
Registration_SIGKDD_Member,Currency,string
Registration_Student,Currency,string
Exhibitor,Name_of_sponsor,string
Silver_Supporter,Name_of_sponsor,string
Best_Student_Paper_Supporter,Name_of_sponsor,string
Gold_Supporter,Name_of_sponsor,string
Platinum_Supporter,Name_of_sponsor,string
Bronze_Supporter,Name_of_sponsor,string
Deadline_Author_notification,Date,dateTime
Deadline_Abstract_Submission,Date,dateTime
Deadline_Paper_Submission,Date,dateTime
Organizing_Committee_member,Name,string
Exhibitor,Name,string
Program_Committee_member,Name,string
Best_Student_Paper_Supporter,Name,string
Author_of_paper,Name,string
Platinum_Supporter,Name,string
Organizator,Name,string
Webmaster,Name,string
Program_Chair,Name,string
Author_of_paper_student,Name,string
Speaker,Name,string
Silver_Supporter,Name,string
Invited_Speaker,Name,string
Gold_Supporter,Name,string
Listener,Name,string
Author,Name,string
General_Chair,Name,string
Sponzor,Name,string
Bronze_Supporter,Name,string
Organizing_Committee_member,Nation,string
Exhibitor,Nation,string
Program_Committee_member,Nation,string
Best_Student_Paper_Supporter,Nation,string
Author_of_paper,Nation,string
Platinum_Supporter,Nation,string
Organizator,Nation,string
Webmaster,Nation,string
Program_Chair,Nation,string
Author_of_paper_student,Nation,string
Speaker,Nation,string
Silver_Supporter,Nation,string
Invited_Speaker,Nation,string
Gold_Supporter,Nation,string
Listener,Nation,string
Author,Nation,string
General_Chair,Nation,string
Sponzor,Nation,string
Bronze_Supporter,Nation,string
Organizing_Committee_member,E-mail,string
Exhibitor,E-mail,string
Program_Committee_member,E-mail,string
Best_Student_Paper_Supporter,E-mail,string
Author_of_paper,E-mail,string
Platinum_Supporter,E-mail,string
Organizator,E-mail,string
Webmaster,E-mail,string
Program_Chair,E-mail,string
Author_of_paper_student,E-mail,string
Speaker,E-mail,string
Silver_Supporter,E-mail,string
Invited_Speaker,E-mail,string
Gold_Supporter,E-mail,string
Listener,E-mail,string
Author,E-mail,string
General_Chair,E-mail,string
Sponzor,E-mail,string
Bronze_Supporter,E-mail,string
Registration_Non-Member,Price,int
Registration_SIGMOD_Member,Price,int
Registration_SIGKDD_Member,Price,int
Registration_Student,Price,int
