wnver::2.1
1740n 179806392 ROOT
1930n 76300919
2119n 103377219
2236n 103377216
2533n 3364705
2819n 0
2929n 10
3037n 74
3122n 47581353
3991n 19691531
4359n 17615426
4576n 17525196
5816n 4
5959n 0
6085n 63218
6216n 0
6300n 26946
7127n 16604179
7626n 15715307
15024n 1082563
16858n 458237
18635n 1218250
19102n 5865060
20429n 862646
20846n 18373900
21810n 145731
22007n 38494032
22178n 12873276
22680n 343807
23153n 18561091
23591n 7882651
25099n 980654
26074n 8666317
26552n 1372391
26997n 683193
27378n 16181
27734n 2
27841n 1620
28105n 25276948
28404n 2885613
29085n 18892421
29714n 10984330
30334n 6167586
31026n 2325766
31236n 20859
31433n 15223605
32028n 13809725
32604n 1363831
32870n 74061
32965n 28574
33168n 2
33330n 110
33580n 1685188
34088n 189
34282n 404
34452n 210
34733n 8
34896n 1293069
35417n 581
35501n 15
35611n 7134
35807n 5745349
36532n 4
36619n 131315
36930n 35
37220n 56
37378n 47173
37568n 229
37654n 18170
37902n 2323
38097n 145
38273n 1154
38347n 1151
38509n 25458
38777n 158
38902n 0
39161n 24866
39319n 17752
39545n 13332
39825n 24660
39971n 2
40097n 730
40256n 119216
40668n 115075
40898n 4342
41114n 123533
41469n 0
41548n 120066
41944n 24088
42237n 48959
42485n 229564
42790n 7332
43008n 5087
43235n 86
43449n 4
43585n 276395
43981n 2093
44242n 25061
44512n 50894
44668n 6202
44846n 118682
45342n 60
45430n 14956
45680n 0
45874n 59
46069n 21919
46265n 78
46375n 63292
46549n 27172
46698n 73158
46980n 989
47152n 19180
47327n 19899
47668n 169
47854n 547
47960n 19
48113n 14
48233n 899
48361n 2695
48519n 26091
48808n 139
49017n 1313
49211n 18342
49401n 552
49516n 18126
49709n 360
49849n 617
50036n 45
50221n 12
50376n 181
50470n 132
50658n 2423
50824n 2631
51115n 91
51344n 45
51421n 26918
51729n 7
51849n 15
51933n 1505
52130n 187
52236n 14252
52585n 28
52740n 4805
52909n 631
53126n 1
53315n 1
53403n 919
53721n 1
53881n 2
54020n 1
54175n 354
54399n 1086
54639n 1
54776n 2
55000n 1422
55250n 0
55394n 81
55574n 4190
55763n 1841
55854n 1
56110n 46
56355n 26
56445n 413
56627n 1417
56716n 11
56851n 50620
57235n 32136
57484n 2440
57660n 29232
57836n 245
58003n 256
58097n 8033
58309n 219
58522n 407
58656n 0
58855n 1
58925n 20
59122n 325
59279n 116
59398n 1357
59561n 0
59706n 21702
59900n 70
60025n 1586
60241n 19369
60439n 2
60559n 677
60779n 0
60914n 202226
61122n 22106
61418n 273
61667n 187
61760n 167329
62126n 4663
62259n 224
62459n 277
62574n 20065
62859n 16078
63149n 8
63267n 733
63387n 1891
63469n 46
63626n 13617
63906n 7134
64126n 0
64267n 262882
64448n 13461
64687n 196037
64952n 2439
65204n 0
65305n 15876
65448n 1073
65559n 25106
65701n 10419
65976n 1636
66156n 3397
66319n 1341
66603n 15
66741n 1650
66887n 3438
67046n 0
67159n 441
67430n 11
67590n 108
67671n 0
67801n 12
67904n 47
68063n 0
68201n 63
68349n 1430
68448n 22
68627n 1993
68775n 0
68933n 59342
69514n 4
69668n 0
69832n 67
70036n 5962
70229n 6858
70441n 2911
70659n 169
70776n 428
71000n 109
71145n 243
71493n 0
71681n 936
71796n 2458
72060n 9
72292n 254
72492n 709
72592n 14981
72758n 12633
73251n 0
73402n 1161
73549n 6
73721n 2207
73843n 148
74003n 123
74127n 2533
74254n 62
74324n 26
74494n 5871
74815n 10256
75100n 7
75180n 11
75350n 59065
75787n 0
75912n 2358
76130n 177
76306n 3
76413n 138
76698n 0
76895n 19889
77089n 681
77275n 5170
77480n 3
77629n 2
77785n 33
77973n 3
78119n 103
78351n 0
78496n 0
78620n 20579
78845n 44627
79051n 107
79272n 0
79449n 14241
79713n 8419
79958n 5122
80100n 0
80224n 0
80402n 2742
80631n 2406
80747n 5493
81137n 32205
81325n 26725
81462n 2997
81606n 300
81852n 7747
82015n 3716
82286n 51
82539n 90
82685n 2
82863n 3352
83076n 85
83322n 248
83473n 1447
83784n 85
83941n 262
84191n 19
84298n 672
84453n 4868
84773n 823
84918n 183
85123n 28806
85363n 18453
85549n 546
85854n 57
86067n 0
86181n 19623
86425n 10152
86727n 1132
86934n 38
87051n 20062
87357n 39
87591n 202
87776n 38
87953n 4376
88093n 5897
88310n 0
88479n 11978
88713n 1663
88934n 896
89104n 555
89203n 274
89370n 4
89479n 4
89593n 41
89677n 1
89912n 31
90066n 1489
90363n 19
90547n 19
90713n 109
90834n 0
91061n 184
91190n 19500
91581n 17
91708n 5319
91951n 765
92211n 376
92499n 2588
92665n 5
92832n 512
93040n 368
93213n 26732
93584n 0
93682n 601
93922n 330
94054n 330
94224n 833
94431n 0
94562n 361
94680n 228
94833n 211
94955n 98
95059n 177
95215n 23115
95616n 43
95744n 5434
95984n 63686
96181n 0
96298n 0
96420n 1
96626n 10
96798n 229
96947n 222
97158n 313
97310n 7237
97612n 17900
97796n 0
97902n 7137
98248n 78
98362n 1108
98550n 13046
98769n 217
98929n 0
99067n 334
99168n 1712
99398n 3
99521n 91
99733n 10
99816n 606
100138n 44
100286n 1
100499n 13997
100650n 771
100778n 9658
100949n 9653
101096n 2
101193n 13395
101447n 9
101608n 1776
101768n 4221
101891n 55473
102326n 843
102514n 261
102621n 535
102829n 4005
102974n 93
103170n 9814
103454n 2985
103622n 32456
104076n 74
104238n 1138
104366n 54
104487n 0
104629n 29
104750n 8743
104901n 1
105034n 0
105225n 3481
105429n 117
105529n 6003
105775n 0
105893n 0
106013n 0
106166n 8
106313n 61
106429n 44
106575n 5
106762n 6992
107119n 0
107240n 2
107405n 2428
107763n 0
107870n 24
108061n 1
108150n 0
108280n 6
108538n 0
108674n 1623
108819n 739
108976n 1
109155n 0
109278n 0
109388n 0
109501n 35
109628n 67232
109990n 3043
110144n 816
110313n 468
110429n 55210
110866n 4821
111060n 592
111288n 56
111429n 214
111632n 28
