wnver::2.1
1740n 1829957 ROOT
1930n 824986
2119n 1003883
2236n 1003883
2533n 35707
2819n 0
2929n 0
3037n 2
3122n 513262
3991n 200576
4359n 201925
4576n 200912
5816n 0
5959n 0
6085n 759
6216n 0
6300n 254
7127n 189894
7626n 180247
15024n 13138
16858n 4973
18635n 13336
19102n 54725
20429n 8893
20846n 186135
21810n 1253
22007n 385746
22178n 133160
22680n 3475
23153n 189278
23591n 81881
25099n 11824
26074n 92522
26552n 14679
26997n 7231
27378n 241
27734n 0
27841n 17
28105n 249111
28404n 31398
29085n 184856
29714n 110114
30334n 50352
31026n 21012
31236n 179
31433n 141934
32028n 125013
32604n 16113
32870n 677
32965n 333
33168n 0
33330n 0
33580n 16030
34088n 1
34282n 22
34452n 2
34733n 0
34896n 12424
35417n 12
35501n 0
35611n 68
35807n 56415
36532n 0
36619n 1153
36930n 1
37220n 1
37378n 406
37568n 6
37654n 149
37902n 48
38097n 0
38273n 6
38347n 15
38509n 231
38777n 0
38902n 0
39161n 223
39319n 153
39545n 128
39825n 268
39971n 0
40097n 0
40256n 1096
40668n 1136
40898n 18
41114n 957
41469n 0
41548n 1175
41944n 175
42237n 504
42485n 2327
42790n 128
43008n 61
43235n 1
43449n 0
43585n 2910
43981n 14
44242n 239
44512n 426
44668n 62
44846n 883
45342n 1
45430n 153
45680n 0
45874n 0
46069n 227
46265n 1
46375n 399
46549n 259
46698n 781
46980n 10
47152n 175
47327n 223
47668n 1
47854n 5
47960n 1
48113n 0
48233n 13
48361n 33
48519n 273
48808n 3
49017n 4
49211n 197
49401n 2
49516n 198
49709n 0
49849n 15
50036n 0
50221n 0
50376n 1
50470n 0
50658n 27
50824n 34
51115n 0
51344n 2
51421n 265
51729n 0
51849n 0
51933n 16
52130n 3
52236n 99
52585n 1
52740n 41
52909n 8
53126n 0
53315n 0
53403n 14
53721n 0
53881n 0
54020n 0
54175n 1
54399n 10
54639n 0
54776n 0
55000n 16
55250n 0
55394n 1
55574n 13
55763n 16
55854n 0
56110n 0
56355n 0
56445n 5
56627n 8
56716n 0
56851n 424
57235n 242
57484n 26
57660n 203
57836n 3
58003n 11
58097n 64
58309n 1
58522n 4
58656n 0
58855n 0
58925n 0
59122n 1
59279n 0
59398n 30
59561n 0
59706n 235
59900n 4
60025n 26
60241n 193
60439n 0
60559n 12
60779n 0
60914n 1931
61122n 228
61418n 0
61667n 1
61760n 1623
62126n 34
62259n 0
62459n 3
62574n 259
62859n 121
63149n 0
63267n 11
63387n 7
63469n 0
63626n 162
63906n 68
64126n 0
64267n 3030
64448n 114
64687n 2222
64952n 17
65204n 0
65305n 160
65448n 2
65559n 292
65701n 165
65976n 16
66156n 17
66319n 11
66603n 0
66741n 17
66887n 5
67046n 0
67159n 0
67430n 0
67590n 0
67671n 0
67801n 0
67904n 0
68063n 0
68201n 0
68349n 15
68448n 0
68627n 19
68775n 0
68933n 719
69514n 0
69668n 0
69832n 1
70036n 78
70229n 109
70441n 48
70659n 1
70776n 10
71000n 2
71145n 5
71493n 0
71681n 9
71796n 24
72060n 0
72292n 0
72492n 11
72592n 126
72758n 206
73251n 0
73402n 21
73549n 0
73721n 37
73843n 3
74003n 1
74127n 26
74254n 0
74324n 0
74494n 114
74815n 148
75100n 0
75180n 0
75350n 597
75787n 0
75912n 12
76130n 1
76306n 1
76413n 0
76698n 0
76895n 178
77089n 4
77275n 26
77480n 0
77629n 0
77785n 0
77973n 0
78119n 0
78351n 0
78496n 0
78620n 215
78845n 335
79051n 0
79272n 0
79449n 111
79713n 65
79958n 46
80100n 0
80224n 0
80402n 50
80631n 26
80747n 64
81137n 358
81325n 294
81462n 28
81606n 21
81852n 67
82015n 20
82286n 0
82539n 0
82685n 0
82863n 31
83076n 0
83322n 0
83473n 16
83784n 0
83941n 1
84191n 0
84298n 5
84453n 48
84773n 10
84918n 2
85123n 138
85363n 66
85549n 2
85854n 0
86067n 0
86181n 140
86425n 95
86727n 17
86934n 2
87051n 207
87357n 0
87591n 0
87776n 0
87953n 48
88093n 34
88310n 0
88479n 87
88713n 15
88934n 4
89104n 3
89203n 1
89370n 0
89479n 0
89593n 2
89677n 0
89912n 0
90066n 4
90363n 1
90547n 1
90713n 0
90834n 0
91061n 0
91190n 203
91581n 0
91708n 81
91951n 13
92211n 10
92499n 29
92665n 0
92832n 5
93040n 1
93213n 207
93584n 0
93682n 4
93922n 5
94054n 5
94224n 30
94431n 0
94562n 4
94680n 3
94833n 3
94955n 1
95059n 4
95215n 246
95616n 0
95744n 62
95984n 408
96181n 0
96298n 0
96420n 0
96626n 1
96798n 1
96947n 3
97158n 2
97310n 101
97612n 209
97796n 0
97902n 87
98248n 0
98362n 6
98550n 126
98769n 3
98929n 0
99067n 5
99168n 15
99398n 0
99521n 1
99733n 1
99816n 10
100138n 0
100286n 0
100499n 159
100650n 4
100778n 141
100949n 141
101096n 0
101193n 170
101447n 0
101608n 38
101768n 39
101891n 655
102326n 1
102514n 2
102621n 7
102829n 52
102974n 0
103170n 126
103454n 24
103622n 387
104076n 1
104238n 13
104366n 2
104487n 0
104629n 1
104750n 111
104901n 0
105034n 0
105225n 64
105429n 0
105529n 101
105775n 1
